"ASCC","Name","RAJ2000","DEJ2000","GLON","GLAT","Radco","Radcl","RV","e_RV","o_RV","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","N1s","Dist","E(B-V)","m-M","logt","o_logt","Rem"
"ASCC_58","nan",153.78,-54.97,281.71,1.33,0.1,0.4,8.0,"nan",1.0,-12.89,0.51,3.15,0.42,-12.44,-4.63,24,600,0.09,9.17,7.04,1,"nan"
"ASCC_59","nan",155.05,-57.65,283.78,-0.51,0.15,0.35,"nan","nan","nan",-4.99,0.49,3.65,0.43,-6.17,0.34,30,550,0.05,8.86,8.6,1,"*"
"ASCC_60","nan",158.28,-58.48,285.67,-0.32,0.06,0.12,-14.5,"nan",1.0,-7.35,0.67,2.36,0.37,-7.54,-1.68,7,800,0.1,9.82,8.36,1,"*"
"ASCC_61","nan",161.53,-56.86,286.41,1.94,0.08,0.32,"nan","nan","nan",-5.19,0.52,3.19,0.42,-6.08,0.42,27,1700,0.23,11.86,7.96,3,"*"
"ASCC_62","nan",162.72,-60.1,288.43,-0.66,0.1,0.28,-4.05,4.95,2.0,-8.72,0.37,1.68,0.45,-8.55,-2.39,17,3000,0.24,13.13,7.5,6,"*"
"ASCC_63","nan",163.96,-60.41,289.12,-0.67,0.08,0.15,-142.0,"nan",2.0,-5.63,0.43,1.74,0.7,-5.83,-0.85,10,3500,0.45,14.11,7.24,1,"*"
"ASCC_64","nan",165.76,-60.92,290.14,-0.77,0.08,0.18,-8.33,9.73,3.0,-5.88,0.49,1.44,0.67,-5.96,-1.07,13,1500,0.15,11.35,7.92,1,"*"
"ASCC_65","nan",167.77,-61.12,291.11,-0.57,0.08,0.22,-13.4,3.52,5.0,-6.83,0.41,0.88,0.34,-6.66,-1.76,26,3500,0.4,13.96,7.09,4,"*"
"ASCC_66","nan",168.4,-55.42,289.29,4.84,0.12,0.3,"nan","nan","nan",-13.76,0.81,3.31,0.46,-14.01,-2.01,12,1000,0.1,10.31,7.76,1,"nan"
"ASCC_67","nan",175.38,-61.02,294.56,0.71,0.1,0.2,-18.6,7.6,1.0,-3.64,0.66,-0.77,0.64,-3.3,-1.72,14,1500,0.3,11.81,7.67,1,"nan"
"Alessi-Teutsch 8, ASCC_68","Alessi-Teutsch 8",180.73,-60.92,297.07,1.4,0.1,0.2,"nan","nan","nan",-4.81,0.63,3.71,0.51,-5.42,2.74,20,650,0.1,9.38,8.65,3,"nan"
"ASCC_69","nan",181.65,-69.77,299.04,-7.23,0.12,0.4,2.0,11.0,2.0,-7.52,0.31,-0.64,0.49,-7.29,-1.94,12,1000,0.17,10.53,7.91,2,"nan"
