"RA_ICRS","DE_ICRS","Cluster","N","logAge","AV","MOD","r","Mass","Density","Nrelax","NBSS","NpBS","Reffcl","ReffBSS","_RA.icrs","_DE.icrs"
0.584,63.562,"UBC_181","nan",8.83,1.08,10.25,2.16,155.5,5.579,25.19,0,0,5.277,"nan",0.584,63.562
0.865,63.587,"Berkeley_104","nan",8.89,1.36,13.18,2.87,642.0,9.765,12.19,0,0,0.035,"nan",0.865,63.587
46.486,44.383,"NGC_1193","*",9.71,0.41,13.49,2.35,6522.0,171.735,49.38,9,9,0.033,0.013,46.486,44.383
48.691,47.235,"NGC_1245","*",9.08,0.5,12.53,6.09,4445.2,7.016,3.09,3,0,0.18,0.031,48.691,47.235
47.731,50.297,"UBC_607","nan",9.22,1.82,13.63,6.13,622.0,0.958,8.53,0,0,0.083,"nan",47.731,50.297
50.967,51.237,"UBC_424","nan",8.59,1.68,11.76,2.2,313.6,10.661,11.37,0,0,0.081,"nan",50.967,51.237
53.167,52.649,"Berkeley_9","nan",9.14,2.69,11.29,1.68,1709.4,128.671,34.85,0,0,0.063,"nan",53.167,52.649
52.754,52.612,"Czernik_16","nan",8.51,2.61,12.2,2.74,537.1,9.501,5.73,0,0,0.052,"nan",52.754,52.612
48.682,52.695,"King_5","*",9.01,1.97,12.06,4.1,2807.4,14.571,5.63,3,0,0.107,0.299,48.682,52.695
39.853,54.922,"Czernik_12","nan",9.13,0.75,11.42,1.57,231.7,21.128,72.42,0,0,0.049,"nan",39.853,54.922
31.11,54.359,"UBC_44","nan",8.91,0.51,12.19,3.15,355.1,4.065,13.42,0,0,0.068,"nan",31.11,54.359
35.218,59.188,"SAI_17","*",9.07,2.49,13.91,2.75,1091.7,18.67,16.49,1,0,0.021,0.03,35.218,59.188
46.03,58.731,"Berkeley_66","*",9.49,3.6,13.39,4.49,7429.2,28.612,10.59,3,0,0.046,0.068,46.03,58.731
49.262,58.612,"Czernik_14","nan",8.62,3.03,12.51,1.5,836.7,90.267,15.79,0,0,0.025,"nan",49.262,58.612
64.736,58.252,"IC_361","*",8.91,1.92,12.77,4.24,6764.8,31.752,3.05,2,0,0.065,0.028,64.736,58.252
60.217,59.198,"UBC_49","*",9.42,1.84,12.22,3.24,865.5,8.85,31.8,2,1,0.068,0.05,60.217,59.198
54.894,66.486,"Berkeley_10","nan",9.08,1.94,11.87,3.38,1995.4,18.341,10.01,0,0,0.084,"nan",54.894,66.486
28.101,58.636,"COIN-Gaia_6","nan",8.68,1.18,12.57,4.38,801.2,3.445,3.68,0,0,0.085,"nan",28.101,58.636
33.856,59.522,"Stock_2","nan",8.6,0.5,8.01,7.17,2828.2,2.774,0.93,0,0,1.046,"nan",33.856,59.522
31.366,62.265,"SAI_16","*",9.0,2.68,13.45,5.12,778.3,2.069,6.19,2,0,0.039,0.064,31.366,62.265
21.504,62.624,"SAI_14","nan",9.13,2.68,13.01,2.51,1132.0,25.384,21.48,0,0,0.038,"nan",21.504,62.624
