"Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","r_pmRA","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType"
"Teutsch 106",164.85417,-59.54694,"nan",3.2,6660.0,1.02,8.78,"D14",-2.29,0.01,0.56,0.08,125.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Majaess 135",164.89583,-59.00056,"IR",4.0,"nan","nan","nan","D14",-3.77,0.35,-0.21,0.42,136.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 3496",164.9,-60.33667,"nan",8.0,990.0,0.469,8.471,"D14",-3.61,0.2,-1.14,0.19,503.0,"K14",-51.4,0.0,1.0,"K07","nan","nan","nan","nan"
"Sher 1",165.26667,-60.23333,"nan",1.0,5875.0,1.374,6.713,"D14",-8.19,0.02,1.93,0.34,24.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Pismis 17",165.275,-59.81667,"nan",6.0,3504.0,0.471,7.023,"D14",-3.89,0.24,0.59,0.26,201.0,"K14",65.1,10.0,1.0,"D14",-0.145,0.127,5.0,"nan"
"ASCC 64",165.76667,-60.92,"nan",21.6,1500.0,0.15,7.92,"D14",-2.94,0.07,-3.58,0.08,2532.0,"K14",1.15,0.73,3.0,"D14","nan","nan","nan","nan"
"Ruprecht 163",166.2125,-67.95,"nan",2.0,3019.0,0.312,9.365,"K14",-12.26,1.13,6.7,1.13,60.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-vp-*"
"NGC 3532",166.4125,-58.75333,"nan",50.0,492.0,0.028,8.477,"TYC",-10.95,0.28,4.8,0.28,110.0,"K14",4.33,0.34,8.0,"MMU",0.02,0.03,3.0,"nan"
"Feinstein 1",166.48333,-59.81667,"nan",25.0,1159.0,0.4,7.0,"D14",-3.55,0.07,-1.79,0.07,2320.0,"K14",2.2,1.03,4.0,"D14","nan","nan","nan","nan"
"VDBH 110",166.825,-61.45,"nan",2.0,5593.0,0.42,9.0,"K14",-9.28,1.01,2.1,1.01,31.0,"K14","nan","nan","nan","nan","nan","nan","nan","1-1-p-*"
"ESO 502 19",167.02917,-26.73,"p",3.0,1338.0,0.208,9.21,"K14",-12.16,0.85,2.48,0.85,9.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-p-*"
"Teutsch 143a",167.17083,-60.71333,"nan",1.0,5483.0,0.46,8.85,"D14",-2.35,0.05,-2.09,0.23,30.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"VDBH 111",167.28333,-63.83333,"nan",2.0,2700.0,0.25,8.35,"KHA",-8.75,1.42,0.77,1.24,5.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-p-*"
"NGC 3572",167.59583,-60.24833,"nan",5.0,1995.0,0.389,6.891,"D14",-4.37,0.34,-0.96,0.35,222.0,"K14",-4.0,10.0,1.0,"D14","nan","nan","nan","nan"
"Basel 17",167.64167,-59.03333,"nan",10.0,1636.0,0.16,"nan","D14",-4.36,0.12,-3.14,0.16,498.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-vp-"
"Hogg 10",167.675,-60.4,"nan",3.0,1776.0,0.46,6.784,"D14",-4.55,0.3,-1.01,0.34,86.0,"K14",1.0,4.0,1.0,"D14","nan","nan","nan","nan"
"Loden 309",167.67917,-60.38333,"nan",1.5,600.0,0.25,8.63,"D14",-5.7,0.52,0.47,0.53,39.0,"K14",1.0,4.0,1.0,"D14","nan","nan","nan","2-2-vp"
"ASCC 65",167.775,-61.12,"nan",26.4,3500.0,0.4,7.09,"D14",-3.48,0.07,-2.27,0.05,2902.0,"K14",-14.39,5.21,7.0,"D14","nan","nan","nan","nan"
"Trumpler 18",167.86667,-60.66667,"nan",5.0,1358.0,0.315,7.194,"D14",-4.07,0.32,-0.88,0.23,236.0,"K14",-20.0,7.4,1.0,"D14","nan","nan","nan","nan"
"Hogg 11",167.90417,-60.4,"nan",2.0,2270.0,0.32,7.08,"D06",-0.65,1.85,6.58,1.85,5.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Collinder 240",167.91667,-60.30972,"nan",32.0,1577.0,0.31,7.16,"D14",-4.33,0.05,-1.82,0.05,3575.0,"K14",-8.02,1.28,5.0,"D14","nan","nan","nan","nan"
"NGC 3590",168.24583,-60.78833,"nan",3.0,1651.0,0.449,7.231,"D14",-3.3,0.37,-1.28,0.24,117.0,"K14",-7.33,6.44,3.0,"K07","nan","nan","nan","nan"
"Hogg 12",168.25417,-60.78333,"nan",4.0,2000.0,0.4,7.48,"D14",-3.43,0.28,-1.84,0.19,154.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-2-p-*"
"Stock 13",168.27083,-58.88333,"nan",5.0,1577.0,0.218,7.222,"D14",-5.49,0.34,-2.72,0.35,157.0,"K14",1.0,7.4,1.0,"K07","nan","nan","nan","nan"
"ASCC 66",168.40417,-55.42,"nan",36.0,1000.0,0.1,7.76,"K05",-13.76,0.81,3.31,0.46,12.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Trumpler 19",168.58333,-57.55111,"nan",14.0,1900.0,0.08,9.65,"D14",-4.49,0.19,0.62,0.18,874.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-m-*"
"NGC 3603",168.77917,-61.26,"nan",4.0,6900.0,1.338,6.0,"LOK",-5.76,1.78,0.28,1.24,12.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"IC 2714",169.3625,-62.73333,"nan",14.0,1238.0,0.341,8.542,"D14",-3.74,0.11,0.12,0.15,535.0,"K14",-14.1,0.0,8.0,"CMPM",0.01,0.01,3.0,"nan"
"Melotte 105",169.925,-63.48333,"nan",5.0,1715.0,0.83,8.55,"D14",-6.3,0.04,0.11,0.28,202.0,"K14",0.4,0.21,2.0,"K14",0.08,0.12,"nan","nan"
"Loden 336",170.0,-58.83333,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","K14","nan","nan","nan","nan","nan","nan","nan","4-1-p-*"
"FSR 1586",170.6875,-62.31833,"IR",5.0,2420.0,1.6,8.65,"D14",-2.83,0.24,-4.71,0.33,128.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"VDBH 118",170.7625,-58.55,"nan",2.0,1493.0,0.27,8.6,"K14",-7.56,1.31,3.45,1.31,21.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-1-p-*"
"NGC 3680",171.40833,-43.24333,"nan",5.0,938.0,0.066,9.077,"D14",-5.42,0.59,2.29,0.45,40.0,"K14",1.28,0.11,8.0,"MMU",-0.19,0.05,7.0,"nan"
"Ruprecht 164",172.7125,-60.73333,"nan",5.0,780.0,0.11,9.0,"KHA",-0.89,1.41,5.03,1.26,6.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-m-*"
"Loden 372",172.72917,-58.48333,"nan",6.0,1200.0,0.4,8.55,"D14",-5.28,0.16,-3.49,0.17,186.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-2-p-*"
"Loden 402",173.21667,-60.71667,"nan",10.0,2450.0,0.18,8.2,"D14",-3.23,0.18,-3.59,0.16,682.0,"K14",-3.0,7.4,1.0,"K07","nan","nan","nan","4-1-p-*"
"NGC 3766",174.05833,-61.60833,"nan",9.3,2218.0,0.2,7.32,"BDW",-7.21,0.34,1.33,0.35,7.0,"K14",-16.66,0.37,2.0,"MMU","nan","nan","nan","nan"
"IC 2944",174.58333,-63.37278,"nan",65.0,1794.0,0.32,6.818,"D14",-5.16,0.04,-2.39,0.03,8860.0,"K14",-2.41,4.96,27.0,"D14","nan","nan","nan","nan"
"ASCC 67",175.37917,-61.02,"nan",24.0,1500.0,0.3,7.67,"D14",-1.22,0.07,-3.76,0.06,2667.0,"K14",-20.73,3.39,2.0,"D14","nan","nan","nan","nan"
"Bica 5",175.39167,-62.41806,"p",3.0,1740.0,0.0,8.78,"D14",-4.61,0.4,-5.45,0.42,78.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Lynga 15",175.6,-62.48333,"nan",8.0,1380.0,0.625,7.4,"D14",-4.02,0.2,-6.47,0.26,327.0,"K14",-8.2,1.8,2.0,"K14","nan","nan","nan","2-1-p-*"
"Ruprecht 95",175.90833,-61.13333,"nan",4.0,1634.0,0.416,8.495,"D14",-0.82,0.38,-4.0,0.27,175.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-1-m-*"
"Loden 466",175.925,-62.51667,"nan",3.5,"nan","nan","nan","D14",-5.42,0.17,-6.02,0.53,110.0,"K14",-12.91,0.72,3.0,"D14","nan","nan","nan","2-3-p-*"
