"Cl","Ns","Age","e_Age","f_Age","RAdeg","e_RAdeg","DEdeg","e_DEdeg","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","Nred","E(Bp-Rp)","e_E(Bp-Rp)","Nwd","e_Nwd","f_Nwd","GC20","Nt1","Nt4"
"NGC 2467","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 2516",1073.0,200.0,60.0,"H",119.51,0.901,-60.782,0.595,-4.661,0.619,11.127,0.558,2.406,0.143,719.0,0.089,0.004,34.6,9.8,"nan",1,1,6
"NGC 2527",139.0,692.0,330.0,"H",121.261,0.223,-28.156,0.176,-5.571,0.214,7.296,0.21,1.541,0.121,97.0,0.096,0.013,40.7,12.1,"nan",1,0,0
"NGC 2546",689.0,141.0,68.0,"H",123.11,0.907,-37.584,0.778,-3.742,0.212,3.865,0.225,0.962,0.243,256.0,0.219,0.009,19.3,10.7,"nan",1,0,0
"NGC 2547",153.0,32.0,16.0,"H",122.48,0.508,-49.191,0.48,-8.507,0.277,4.332,0.341,2.544,0.198,88.0,0.195,0.026,0.0,1.2,"nan",0,0,0
"NGC 2548",442.0,389.0,186.0,"H",123.378,0.4,-5.738,0.379,-1.334,0.211,0.988,0.206,1.287,0.133,289.0,0.045,0.004,38.5,18.5,"nan",1,0,0
"NGC 2571",160.0,27.0,13.0,"H",124.727,0.127,-29.768,0.131,-4.916,0.249,4.233,0.26,0.734,0.139,84.0,0.246,0.018,0.0,1.4,"nan",1,0,0
"NGC 2579","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 2669",521.0,135.0,65.0,"H",131.643,0.533,-52.929,0.437,-4.073,0.226,4.592,0.223,0.904,0.188,157.0,0.323,0.008,12.3,6.9,"nan",1,0,0
"NGC 2670",224.0,102.0,49.0,"H",131.381,0.157,-48.799,0.135,-5.378,0.197,3.621,0.179,0.635,0.19,78.0,0.588,0.021,6.9,4.8,"nan",1,0,0
"NGC 2925",128.0,129.0,62.0,"H",143.324,0.276,-53.418,0.218,-8.51,0.263,5.352,0.253,1.286,0.168,70.0,0.082,0.01,3.3,1.9,"nan",1,0,0
"NGC 3033",62.0,"nan","nan","nan",147.147,0.119,-56.424,0.108,-7.592,0.174,4.261,0.169,0.531,0.127,18.0,0.365,0.044,"nan","nan","#",1,0,0
"NGC 3114",990.0,130.0,25.0,"CG",150.577,0.561,-60.046,0.37,-7.332,0.279,3.789,0.258,0.948,0.127,666.0,0.134,0.004,38.2,9.3,"nan",1,1,0
"NGC 3228",16.0,30.0,15.0,"H",155.301,0.17,-51.758,0.135,-14.765,0.524,-0.681,0.431,2.01,0.292,10.0,0.098,0.024,0.0,0.33,"nan",1,0,0
"NGC 3255",196.0,"nan","nan","nan",156.633,0.112,-60.675,0.104,-5.888,0.173,3.325,0.162,0.146,0.145,31.0,0.621,0.038,"nan","nan","#",1,0,0
"NGC 3330",135.0,81.0,39.0,"H",159.675,0.134,-54.134,0.116,-7.697,0.192,2.992,0.187,0.547,0.167,57.0,0.224,0.019,2.6,2.3,"nan",1,0,0
"NGC 3496",966.0,350.0,100.0,"CG",164.879,0.265,-60.334,0.175,-7.397,0.142,2.684,0.145,0.348,0.183,160.0,0.74,0.02,301.0,118.0,"nan",1,0,0
"NGC 3532",306.0,398.0,190.0,"H",165.602,2.896,-58.506,1.53,-10.349,0.446,5.123,0.438,1.967,0.45,205.0,0.061,0.006,19.7,8.6,"nan",1,3,0
"NGC 4337",293.0,"nan","nan","nan",186.015,0.135,-58.126,0.109,-8.836,0.135,1.484,0.13,0.361,0.125,68.0,0.423,0.023,"nan","nan","#",1,0,0
"NGC 4463",127.0,29.0,14.0,"H",187.469,0.129,-64.796,0.107,-5.327,0.197,-0.348,0.214,0.53,0.104,28.0,0.714,0.017,0.0,2.3,"nan",1,0,0
