"Cluster","Age","Mc","Mdotc","Lwc","k","Mmin*","Mmax*","_RA","_DE"
"UBC_353",29.5,416.7,4.2e-09,7.8e+33,6202.9,2.17,3.61,280.8625,-3.73583
"UBC_355",24.5,675.6,9.9e-09,1.8999999999999998e+34,9913.6,2.53,4.65,281.92174,-3.8183
"UBC_357",6.6,1270.1,3.5e-07,9.299999999999999e+35,16888.0,2.63,5.02,284.743,-0.237
"UBC_367",21.9,269.3,5e-09,9.8e+33,3916.2,2.5,7.15,302.357,36.47
"UBC_368",22.4,245.9,4.3e-09,8.500000000000001e+33,3582.6,1.49,4.8,302.847,36.512
"UBC_379",18.2,431.0,1.2e-08,2.4e+34,6181.1,2.5,4.3,313.264,48.538
"UBC_385",19.5,141.6,2.6e-09,5.1000000000000005e+33,2059.4,1.5,4.74,317.94,60.092
"UBC_386",6.5,153.9,3.4e-09,6.900000000000001e+33,2222.5,1.65,6.13,319.784,61.952
"UBC_388",15.5,1002.4,3.7e-08,8e+34,14200.5,2.17,10.36,337.636,56.552
"UBC_393",8.5,1116.9,1.6e-07,4e+35,15130.2,1.76,6.15,345.615,56.953
"UBC_412",21.4,533.9,1e-08,2e+34,7751.1,2.64,4.51,12.987,63.785
"UBC_414",29.5,215.1,2.2e-09,4e+33,3202.1,1.59,6.11,28.513,61.992
"UBC_415",23.4,57.1,1.2e-10,1.6e+32,901.2,1.11,6.95,42.54,72.914
"UBC_418",22.9,1361.2,2.3e-08,4.3999999999999995e+34,19867.3,2.54,8.1,34.671,59.832
"UBC_423",16.6,207.3,6.7e-09,1.3999999999999998e+34,2951.8,2.09,4.67,48.257,58.927
"UBC_438",4.4,525.3,1.1e-07,3e+35,7027.3,2.85,5.54,94.851,15.287
