"Name","Type","RA_ICRS","DE_ICRS","pmRA","pmDE","Plx","dataSource","Family","Age","RVcomb","Xhelio","Yhelio","Zhelio","U","V","W","e_Xhelio","e_Yhelio","e_Zhelio","e_U","e_V","e_W","nRVcomb","Mass16","Mass50","Mass84","nSNe16","nSNe50","nSNe84","nsg8M16","nsg8M50","nsg8M84","Weightsc","NameBoth","dist"
"Collinder_135","o",109.40554,-36.92088,-10.07787,6.23024,3.33086,"hunt","cr135",29.82884,15.29672,-104.55702,-270.83384,-57.04329,-18.0004,-7.53884,-11.81676,0.09432,0.24432,0.05146,0.18858,0.48496,0.10458,55.0,203.74739,261.42913,323.45695,1.0,2.0,3.0,1.0,3.0,4.0,0.6726,"Collinder_135",295.86665
"Collinder_140","o",110.8024,-32.01159,-8.08817,4.7565,2.59059,"hunt","cr135",17.25184,16.8622,-157.75952,-337.59712,-51.70211,-19.7607,-7.69143,-11.18079,0.22065,0.47218,0.07231,0.3521,0.78142,0.15839,35.0,192.32649,228.84755,277.79067,0.0,1.0,2.0,1.0,2.0,4.0,0.46515,"Collinder_140",376.20871
"Delta_Cephei_Cluster","o",336.42386,57.15725,16.50641,4.66723,4.11346,"hunt","none",67.34509,-13.98031,-58.80944,233.41467,-1.25679,-15.17221,-18.558,-5.72354,0.06134,0.24345,0.00131,0.19751,0.72928,0.05142,35.0,131.62451,161.54733,210.12723,1.0,2.0,3.0,1.0,2.0,3.0,0.59931,"Delta_Cephei_Cluster",240.71256
"FSR_0569","o",37.81756,72.46688,-1.53791,-1.74353,1.08392,"hunt","none",5.3342,-24.92769,-566.61452,666.38789,170.8722,17.70695,-15.39945,-14.93349,2.02773,2.38478,0.6115,1.55555,1.83192,0.67378,12.0,540.16922,606.25781,697.3175,0.0,1.0,2.0,5.0,7.0,9.0,1.0,"FSR_0569",891.24752
"FoF_2383","o",95.3801,-16.0967,-5.36977,5.04856,2.6921,"hunt","cr135",37.85717,23.39793,-254.17702,-247.14088,-86.76877,-23.93191,-6.61911,-10.27954,0.3888,0.37804,0.13273,0.38711,0.36667,0.14326,66.0,412.64806,461.4707,596.2797,2.0,4.0,7.0,2.0,4.0,7.0,0.69142,"FoF_2383",364.9841
"Gaia_8","o",282.54314,33.39282,1.74262,-3.95541,3.43649,"hunt","alphaPer",21.06307,-18.5765,125.99368,249.68638,73.77537,-3.92512,-16.6914,-8.8118,0.17589,0.34858,0.10299,0.28597,0.5161,0.21725,19.0,73.14267,92.82289,135.68941,0.0,1.0,1.0,0.0,1.0,2.0,0.50801,"Gaia_8",289.24125
"Gulliver_9","o",127.20387,-47.92491,-5.93144,6.93488,2.0001,"hunt","gamma_velorum",10.1325,22.6099,-41.70704,-487.87381,-45.54743,-23.40994,-20.27512,-4.1035,0.07571,0.88565,0.08268,0.22246,0.98698,0.2317,33.0,348.06723,393.26395,481.48284,0.0,1.0,3.0,2.0,4.0,6.0,0.32389,"Gulliver_9",491.76712
"Gulliver_28","o",293.65425,18.1639,-4.419,-3.47152,1.54184,"hunt","none",66.22945,3.56997,370.45721,508.92466,-10.22051,15.87455,-5.67545,6.48383,1.15904,1.59226,0.03198,1.18208,1.62669,0.14996,22.0,306.76385,372.34544,447.21606,3.0,4.0,5.0,3.0,4.0,5.0,1.0,"Gulliver_28",629.56121
"HSC_263","o",264.82227,2.42587,0.04014,-9.34473,1.90875,"hunt","none",26.17187,-11.21941,429.56667,216.24412,148.27372,3.49886,-20.13802,-13.28943,2.13589,1.07521,0.73725,1.89333,0.95491,0.73239,7.0,69.22093,89.41898,156.80512,0.0,1.0,1.0,0.0,1.0,3.0,0.94756,"HSC_263",503.26349
"HSC_381","o",271.38576,17.7709,-1.03593,-8.11004,3.1609,"hunt","alphaPer",30.65745,-17.4633,213.74671,207.56711,96.37318,-2.83732,-19.20995,-8.74007,0.25858,0.25111,0.11659,0.44727,0.45111,0.23513,54.0,265.17621,296.03463,368.30644,1.0,3.0,4.0,2.0,3.0,5.0,0.56363,"HSC_381",313.14461
