ID,ra,ra_sigma,dec,dec_sigma,plx,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,Nmem,n17,class,Age,Age_sigma,[Fe/H],[Fe/H]_sigma,M,M_sigma,Av,Av_sigma
CKCWDM_48816,175.2078,0.0009,-60.0493,0.0005,0.1551,-6.6451,0.1236,1.416,0.1533,294.221,0.0003,1.6229,0.0004,38,35,1,8.9073,0.0296,0.32747,0.19797,14.04771,0.05156,2.74541,0.00982
CKCWDM_48869,175.9473,0.0011,-60.5331,0.0004,0.1881,-7.8414,0.0505,1.7501,0.0658,294.7025,0.0003,1.2532,0.0004,37,37,1,8.9104,0.0382,-0.27425,0.16249,13.62692,0.05001,4.92043,0.00985
CKCWDM_48959,175.437,0.0012,-60.0915,0.0002,0.1423,-5.8721,0.4922,1.3031,0.0465,294.3425,0.0003,1.6129,0.0001,22,21,1,8.9246,0.024,-0.87172,0.4802,14.23292,0.05,2.7269,0.00968
CKCWDM_49436,199.4557,0.0013,-62.9059,0.0002,0.176,-5.4826,0.1176,-0.6501,0.0835,305.9309,0.0002,-0.1879,0.0003,20,20,1,8.914,0.0236,-0.09976,0.05809,13.76905,0.05069,38.6291,0.00976
CKCWDM_50936,297.3073,0.0004,28.3693,0.0004,0.1958,-3.0038,0.0931,-5.5288,0.1411,64.4726,0.0005,1.2193,0.0002,22,19,1,8.8964,0.0159,0.29605,0.16906,13.53784,0.04994,6.59475,0.01028
CKCWDM_52497,339.4334,0.0028,58.1254,0.0007,0.1538,-2.4853,0.3831,-1.8357,0.2017,106.0205,0.0012,-0.287,0.0003,20,20,1,8.8938,0.0211,0.3169,0.18353,14.06441,0.04901,3.9534,0.01009
CKCWDM_52944,14.1184,0.0072,63.2564,0.0005,0.1679,-1.5906,0.2477,-0.1622,0.1944,123.4984,0.0014,0.3902,0.0005,33,32,1,8.9131,0.0354,-0.57987,0.34422,13.87232,0.05212,3.38009,0.00966
CKCWDM_53314,34.637,0.0046,62.6063,0.0004,0.1783,-0.3451,0.2805,-0.3196,0.2524,132.7634,0.0011,1.4092,0.0003,20,20,1,8.8933,0.0382,0.33403,0.17865,13.74161,0.05151,2.55901,0.0097
CKCWDM_53567,74.6258,0.002,43.6957,0.001,0.1759,0.8871,0.1929,-0.4825,0.1873,162.5029,0.0017,0.6072,0.0003,21,21,1,8.8921,0.0353,0.3308,0.18008,13.77247,0.05138,2.42848,0.00993
CKCWDM_53615,77.2916,0.001,41.6523,0.0008,0.1988,0.7693,0.1507,-1.2128,0.3025,165.3169,0.001,0.9198,0.0004,23,23,1,8.881,0.0397,0.06949,0.04187,13.50686,0.05028,1.60922,0.00996
