"COCD","Name","GLON","GLAT","DistMod","E(B-V)","Dist","logt","rt","e_rt","logM","e_logM","rtA","e_rtA","logMA","e_logMA","_RA.icrs","_DE.icrs"
160,"NGC 2437",231.85,4.05,11.157,0.15,1375,8.16,17.6,2.2,3.206,0.165,17.3,1.7,3.184,0.135,115.4248,-14.8105
161,"Ruprecht 31",250.09,-5.98,8.685,0.09,480,8.56,"nan","nan","nan","nan",2.8,0.9,0.888,0.401,115.7365,-35.6017
162,"NGC 2451B",252.05,-6.73,8.322,0.05,430,7.88,6.0,0.7,1.899,0.163,6.9,1.4,2.076,0.272,116.1081,-37.6676
163,"NGC 2447",240.05,0.15,10.234,0.05,1037,8.76,13.1,2.3,2.859,0.229,10.6,1.1,2.588,0.14,116.1458,-23.8588
164,"NGC 2448",240.76,-0.26,10.147,0.02,1040,7.19,"nan","nan","nan","nan",13.2,2.3,2.866,0.231,116.1455,-24.6787
165,"Ruprecht 34",237.19,2.15,9.825,0.1,800,8.9,"nan","nan","nan","nan",4.7,1.3,1.529,0.352,116.4706,-20.3825
166,"Haffner 16",242.09,0.47,13.06,0.18,3165,7.51,"nan","nan","nan","nan",17.8,5.4,3.096,0.398,117.5819,-25.459
167,"NGC 2477",253.56,-5.84,11.303,0.28,1222,8.61,9.7,1.9,2.488,0.261,9.2,1.8,2.409,0.257,118.037,-38.5283
168,"ESO 123-26",273.11,-16.32,9.105,0.13,550,8.33,6.0,1.1,1.905,0.244,5.3,1.0,1.755,0.247,118.0485,-60.3603
169,"NGC 2467",243.15,0.34,11.714,0.34,1355,8.05,"nan","nan","nan","nan",12.6,3.0,2.796,0.314,118.0595,-26.4368
170,"NGC 2479",235.98,5.37,10.706,0.1,1200,8.99,"nan","nan","nan","nan",7.6,2.2,2.138,0.374,118.7629,-17.7118
171,"NGC 2482",241.62,2.03,10.919,0.09,1343,8.48,12.6,2.9,2.79,0.303,11.4,1.9,2.666,0.215,118.7925,-24.2558
172,"NGC 2483",244.79,0.23,12.029,0.3,1659,7.49,"nan","nan","nan","nan",10.9,3.5,2.584,0.428,118.9031,-27.8991
173,"Trumpler 9",243.07,1.29,12.387,0.19,2289,7.99,"nan","nan","nan","nan",7.4,2.6,2.026,0.466,118.9208,-25.879
174,"NGC 2489",246.71,-0.77,13.988,0.37,3700,7.25,"nan","nan","nan","nan",19.4,9.2,3.185,0.618,119.064,-30.0593
175,"NGC 2516",273.81,-15.85,7.912,0.07,346,8.08,8.6,1.2,2.369,0.182,8.7,0.9,2.396,0.143,119.522,-60.7457
