"Name","Type","n_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","RV","e_RV","o_RV","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","dH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Src","SType","[Fe/H]","e_[Fe/H]","o_[Fe/H]"
"Kronberger_12, MWSC_808","nan","nan",93.562,22.483,188.8,2.373,0.01,0.055,0.1,-1.04,-5.85,0.35,"nan","nan",0,2,35,73,1893.0,0.666,11.6,0.32,0.213,0.0,8.87,0.084,2.0,0.98,0.09,5.97,0.47,34.62,2.51,"DIAS","nan","nan","nan",0
"ASCC_22, MWSC_813","nan","nan",93.63,0.66,208.099,-7.908,0.015,0.13,0.205,-4.16,-3.97,0.48,90.3,3.54,2,1,31,64,771.0,0.198,9.499,0.095,0.063,0.0,8.455,"nan","nan",0.39,0.14,6.09,2.46,18.67,5.96,"COCD","nan","nan","nan",0
"IRAS_06117+1901, MWSC_816","nan","nan",93.69,19.019,191.903,0.825,0.01,0.045,0.075,0.36,-5.16,0.54,"nan","nan",0,1,14,43,2140.0,0.77,11.9,0.37,0.247,0.0,8.05,"nan",1.0,0.65,0.32,6.84,2.84,1.26,0.68,"BIEM","irc","nan","nan",0
"Skiff_J0614+12.9, MWSC_817","nan","nan",93.708,12.865,197.32,-2.096,0.01,0.05,0.085,-1.22,-1.94,0.49,"nan","nan",0,4,25,50,2874.0,0.645,12.5,0.31,0.207,0.01,8.45,"nan","nan",1.0,0.23,5.25,1.14,12.57,1.93,"DIAS","nan","nan","nan",0
"BDSB_82, MWSC_819","nan","nan",93.747,12.338,197.802,-2.314,0.012,0.05,0.11,0.17,0.07,0.5,"nan","nan",0,3,17,61,1934.0,0.833,11.7,0.4,0.267,0.02,7.915,0.151,2.0,0.89,0.2,5.55,1.22,9.89,1.64,"BOPN","irc","nan","nan",0
"NGC_2192, MWSC_820","nan","nan",93.82,39.868,173.398,10.654,0.012,0.09,0.18,-2.68,-3.32,0.29,"nan","nan",0,4,53,104,3501.0,0.1,12.753,0.048,0.032,-0.04,9.25,0.044,25.0,1.66,0.31,13.26,2.37,3.76,0.6,"DIAS","nan",-0.31,"nan",0
"NGC_2204, MWSC_822","nan","nan",93.888,-18.66,226.006,-16.109,0.01,0.105,0.155,0.5,3.36,0.31,89.0,1.8,12,1,53,77,3790.0,0.021,12.9,0.01,0.007,-0.02,9.29,0.018,24.0,3.55,0.4,17.2,1.82,4.45,0.32,"DIAS","nan",-0.32,0.1,12
"FSR_0909, MWSC_823","nan","nan",93.934,19.005,192.025,1.022,0.01,0.06,0.115,-0.9,-6.1,0.47,-2.9,1.78,1,3,28,96,2167.0,0.687,11.9,0.33,0.22,0.0,8.445,"nan",1.0,0.7,0.29,9.64,4.33,2.52,1.03,"FPRO","nan","nan","nan",0
"BDSB_81, MWSC_825","nan","nan",93.948,14.277,196.189,-1.219,0.01,0.04,0.085,-0.96,1.39,0.38,"nan","nan",0,2,13,47,2669.0,0.833,12.4,0.4,0.267,0.03,8.115,"nan","nan",0.34,0.23,5.43,3.86,4.72,3.65,"BOPN","irc","nan","nan",0
"FSR_0811, MWSC_826","nan","nan",94.102,36.365,176.675,9.274,0.02,0.075,0.15,-3.02,1.6,0.41,"nan","nan",0,4,21,49,5444.0,0.375,13.8,0.18,0.12,0.0,8.8,"nan","nan",3.41,1.36,19.04,6.33,0.19,0.06,"FPOS","nan","nan","nan",0
"FSR_1056, MWSC_830","nan","nan",94.47,-1.69,210.597,-8.241,0.018,0.09,0.18,0.54,-1.31,0.44,"nan","nan",0,2,29,88,2589.0,0.416,12.2,0.2,0.133,-0.02,9.045,"nan","nan",3.03,1.07,11.77,3.38,0.56,0.16,"FPOS","nan","nan","nan",0
"Koposov_62, MWSC_831","nan","nan",94.509,24.695,187.26,4.184,0.01,0.07,0.13,-2.1,-4.84,0.35,"nan","nan",0,2,47,143,3435.0,0.375,12.8,0.18,0.12,-0.04,9.415,0.026,15.0,1.32,0.42,17.79,6.37,1.91,0.52,"DIAS","nan","nan","nan",0
"FSR_0902, MWSC_832","nan","nan",94.575,20.54,190.959,2.281,0.02,0.08,0.155,-0.51,-5.5,0.4,"nan","nan",0,4,32,70,1243.0,0.396,10.6,0.19,0.127,0.02,7.145,"nan",1.0,0.57,0.2,6.95,2.68,10.36,2.82,"DIAS","irc","nan","nan",0
"FSR_0953, MWSC_835","nan","nan",94.759,14.13,196.692,-0.596,0.018,0.05,0.1,-0.21,2.92,0.53,"nan","nan",0,4,23,65,1734.0,0.481,11.35,0.231,0.154,0.0,8.75,0.082,2.0,0.64,0.27,4.17,1.72,6.87,1.97,"DIAS","irc","nan","nan",0
"FSR_0988, MWSC_836","nan","nan",94.74,7.327,202.687,-3.82,0.01,0.075,0.155,1.15,-0.93,0.43,"nan","nan",0,1,30,92,2928.0,0.521,12.5,0.25,0.167,0.0,8.92,"nan","nan",2.18,1.19,15.77,8.99,0.34,0.11,"FPRO","nan","nan","nan",0
"Skiff_J0619+18.5, MWSC_837","nan","nan",94.84,18.51,192.868,1.543,0.02,0.06,0.14,-0.78,-3.0,0.35,"nan","nan",0,6,38,174,1380.0,0.312,10.8,0.15,0.1,-0.04,7.9,"nan","nan",2.42,0.73,5.3,0.95,7.05,3.17,"DIAS","nan","nan","nan",0
"Collinder_89, MWSC_838","nan","nan",94.8,23.35,188.575,3.788,0.025,0.15,0.26,-0.3,-3.65,0.26,26.2,7.64,3,6,82,260,1021.0,0.479,10.199,0.23,0.153,-0.01,7.825,"nan","nan",1.81,0.86,8.41,3.55,2.03,0.51,"COCD","nan","nan","nan",0
"ASCC_23, MWSC_839","nan","nan",95.089,46.675,167.513,14.422,0.04,0.14,0.375,0.75,-1.44,0.34,"nan","nan",0,7,37,96,600.0,0.1,8.923,0.048,0.032,-0.015,8.485,"nan","nan",0.6,0.16,6.28,1.86,23.18,4.26,"COCD","nan","nan","nan",0
"FSR_1107, MWSC_840","nan","nan",95.097,-7.005,215.688,-10.079,0.015,0.06,0.125,1.4,-4.28,0.53,"nan","nan",0,3,13,50,3009.0,0.895,12.68,0.43,0.287,0.0,8.65,"nan","nan",1.1,0.45,13.68,6.26,1.52,0.54,"FPOS","nan","nan","nan",0
"NGC_2215, MWSC_843","nan","nan",95.22,-7.295,216.007,-10.099,0.03,0.14,0.325,1.53,-5.57,0.25,-10.7,0.66,4,9,92,293,1141.0,0.354,10.4,0.17,0.113,0.0,8.55,"nan","nan",0.74,0.19,8.86,2.5,17.24,3.36,"COCD","nan","nan","nan",0
"Collinder_91, MWSC_844","nan","nan",95.46,2.374,207.42,-5.493,0.02,0.13,0.255,0.67,-1.22,0.26,-11.8,"nan",1,8,89,271,1467.0,0.521,11.0,0.25,0.167,0.01,8.64,0.036,4.0,1.29,0.35,10.42,2.98,5.85,0.88,"DIAS","nan","nan","nan",0
"FSR_0941, MWSC_846","nan","nan",95.446,15.733,195.591,0.745,0.02,0.06,0.14,-0.83,-4.93,0.37,"nan","nan",0,8,31,109,4610.0,0.874,13.6,0.42,0.28,0.0,8.665,0.04,18.0,4.65,0.75,19.32,2.7,1.79,0.2,"DIAS","irc","nan","nan",0
"Berkeley_73, MWSC_847","nan","nan",95.515,-6.319,215.253,-9.401,0.01,0.05,0.085,3.47,-1.72,0.74,95.7,0.2,2,1,13,33,7881.0,0.208,14.55,0.1,0.067,0.0,9.15,"nan","nan",2.06,1.29,17.39,11.7,0.26,0.12,"DIAS","nan",-0.22,0.1,2
"FSR_0888, MWSC_848","nan","nan",95.557,23.41,188.847,4.431,0.01,0.07,0.15,-2.67,-5.4,0.57,"nan","nan",0,1,26,109,1536.0,0.833,11.2,0.4,0.267,0.02,7.6,"nan","nan",0.52,0.14,7.96,2.5,15.0,3.86,"FPOS","nan","nan","nan",0
"FSR_0951, MWSC_849","nan","nan",95.584,14.705,196.561,0.38,0.01,0.1,0.19,-0.26,-0.84,0.22,42.0,"nan",1,3,104,288,1619.0,0.479,11.2,0.23,0.153,0.02,8.7,"nan","nan",1.75,0.36,9.78,1.98,5.51,0.61,"FPRO","nan","nan","nan",0
"Collinder_92, MWSC_850","nan","nan",95.73,5.1,205.122,-3.99,0.012,0.1,0.215,-1.58,-0.73,0.3,"nan","nan",0,2,46,207,2670.0,0.521,12.3,0.25,0.167,0.0,9.145,0.052,16.0,3.19,0.81,17.53,4.29,1.51,0.18,"DIAS","non","nan","nan",0
"Dolidze_22, MWSC_854","nan","nan",95.809,4.59,205.611,-4.157,0.025,0.09,0.16,-1.14,-1.42,0.35,"nan","nan",0,7,43,122,1775.0,0.479,11.4,0.23,0.153,0.0,8.37,"nan",1.0,3.26,1.52,7.77,2.31,1.96,1.28,"DIAS","dub","nan","nan",0
"NGC_2219, MWSC_855","nan","nan",95.932,-4.695,213.972,-8.302,0.015,0.07,0.145,-1.53,-1.98,0.5,"nan","nan",0,1,19,64,2325.0,0.521,12.0,0.25,0.167,0.02,8.75,"nan","nan",2.22,0.95,12.14,5.03,0.5,0.13,"DIAS","non","nan","nan",0
"FSR_0962, MWSC_856","nan","nan",95.962,14.1,197.267,0.42,0.01,0.08,0.135,-0.68,-2.41,0.32,"nan","nan",0,3,45,114,2670.0,0.521,12.3,0.25,0.167,0.01,8.935,0.04,11.0,0.87,0.33,14.37,6.15,3.01,1.1,"FPRO","nan","nan","nan",0
"FSR_0955, MWSC_857","nan","nan",95.962,14.515,196.9,0.614,0.01,0.045,0.085,0.9,0.02,0.6,"nan","nan",0,2,14,35,1994.0,0.625,11.7,0.3,0.2,0.0,7.4,"nan","nan",0.7,0.21,5.89,1.48,4.36,1.24,"FPRO","nan","nan","nan",0
"FSR_0927, MWSC_858","nan","nan",96.06,18.017,193.847,2.334,0.025,0.07,0.165,-0.47,-1.68,0.34,"nan","nan",0,7,43,207,2981.0,0.895,12.66,0.43,0.287,0.02,8.65,0.041,9.0,1.28,0.43,15.83,5.96,1.91,0.55,"DIAS","irc","nan","nan",0
"FSR_1136, MWSC_859","nan","nan",96.187,-10.265,219.145,-10.55,0.01,0.07,0.15,1.34,-1.31,0.61,"nan","nan",0,2,18,56,1287.0,0.937,10.849,0.45,0.3,0.0,8.2,"nan","nan",0.42,0.13,5.95,1.96,12.13,4.0,"FPOS","nan","nan","nan",0
"BDSB_91, MWSC_861","nan","nan",96.322,-10.555,219.469,-10.557,0.025,0.085,0.15,0.21,-0.74,0.54,"nan","nan",0,6,24,47,1918.0,1.353,11.85,0.65,0.434,-0.03,6.65,"nan","nan",0.72,0.16,8.99,2.19,14.12,2.7,"BOPN","irc","nan","nan",0
"FSR_0957, MWSC_862","nan","nan",96.36,14.575,197.027,0.982,0.02,0.065,0.14,0.6,-1.07,0.39,"nan","nan",0,5,24,96,1786.0,0.437,11.4,0.21,0.14,0.0,8.735,0.035,4.0,1.39,0.77,7.41,3.96,1.04,0.35,"DIAS","irc","nan","nan",0
"Teutsch_11, MWSC_863","nan","nan",96.346,13.867,197.647,0.64,0.013,0.065,0.155,1.92,-3.01,0.42,21.0,7.4,1,3,29,120,5302.0,0.708,13.85,0.34,0.227,0.02,8.8,"nan","nan",1.47,0.32,25.47,6.09,2.44,0.58,"DIAS","nan","nan","nan",0
"Bochum_1, MWSC_864","nan","nan",96.322,19.78,192.401,3.374,0.01,0.075,0.145,-0.93,-2.82,0.44,38.0,"nan",1,3,26,98,3065.0,0.521,12.6,0.25,0.167,0.0,6.6,"nan","nan",1.79,0.49,10.4,2.12,1.11,0.28,"DIAS","nan","nan","nan",0
"FSR_0929, MWSC_865","nan","nan",96.39,17.72,194.257,2.473,0.01,0.065,0.145,-0.51,-3.25,0.41,47.2,"nan",1,2,31,113,1296.0,0.115,10.6,0.055,0.037,-0.03,8.495,"nan","nan",0.36,0.15,6.23,2.86,11.69,5.28,"DIAS","irc","nan","nan",0
"FSR_0948, MWSC_867","nan","nan",96.468,15.86,195.939,1.674,0.025,0.07,0.13,-0.48,-4.27,0.39,"nan","nan",0,12,38,93,2991.0,0.375,12.5,0.18,0.12,0.01,8.78,0.035,6.0,0.88,0.36,12.05,5.33,2.44,0.93,"DIAS","irc","nan","nan",0
"NGC_2225, MWSC_868","nan","nan",96.655,-9.64,218.78,-9.861,0.018,0.06,0.15,1.31,-1.97,0.52,"nan","nan",0,4,21,57,3201.0,0.354,12.64,0.17,0.113,0.0,9.165,"nan","nan",1.12,0.29,17.59,5.06,4.36,1.03,"DIAS","nan",-0.4,"nan",0
"NGC_2232, MWSC_871","nan","nan",96.99,-4.795,214.541,-7.406,0.04,0.165,0.38,-4.15,-2.43,0.43,19.8,4.54,4,5,26,110,330.0,0.031,7.603,0.015,0.01,0.0,7.7,"nan","nan",1.52,0.61,3.08,0.69,27.72,18.54,"COCD","nan",0.32,0.08,0
"FSR_1033, MWSC_873","nan","nan",97.087,2.935,207.674,-3.792,0.02,0.065,0.12,0.59,-3.52,0.55,"nan","nan",0,3,19,65,1710.0,0.729,11.399,0.35,0.233,0.0,8.515,"nan","nan",0.68,0.21,4.94,1.49,9.21,2.12,"FPRO","nan","nan","nan",0
"FSR_0936, MWSC_874","nan","nan",97.147,16.927,195.296,2.746,0.01,0.07,0.115,-0.98,-1.49,0.37,"nan","nan",0,2,31,78,3161.0,0.625,12.7,0.3,0.2,0.02,8.955,0.045,9.0,1.79,0.53,12.57,3.78,1.34,0.26,"FPRO","nan","nan","nan",0
"FSR_0967, MWSC_877","nan","nan",97.315,14.255,197.741,1.653,0.01,0.04,0.09,0.03,-1.98,0.7,"nan","nan",0,2,17,37,4783.0,0.937,13.7,0.45,0.3,0.01,8.625,0.075,7.0,4.43,0.97,12.24,1.83,1.3,0.31,"FPOS","nan","nan","nan",0
"NGC_2234, MWSC_878","nan","nan",97.335,16.759,195.528,2.828,0.02,0.07,0.16,-0.36,-2.0,0.41,"nan","nan",0,6,27,83,6871.0,0.979,14.5,0.47,0.313,0.0,8.08,0.044,14.0,4.4,1.02,23.09,4.28,0.36,0.07,"DIAS","nan","nan","nan",0
"Alessi_53, MWSC_879","nan","nan",97.33,9.165,202.258,-0.695,0.01,0.06,0.11,1.59,-1.99,0.47,"nan","nan",0,2,24,53,2394.0,0.635,12.1,0.305,0.203,0.0,7.0,"nan","nan",0.52,0.23,9.05,4.37,3.75,1.88,"DIAS","nan","nan","nan",0
"NGC_2243, MWSC_880","nan","nan",97.392,-31.285,239.477,-18.018,0.015,0.085,0.165,-2.81,4.09,0.63,55.0,1.77,9,3,19,41,4446.0,0.062,13.26,0.03,0.02,0.0,9.135,"nan","nan",1.64,0.25,20.99,3.61,5.6,0.78,"DIAS","nan",-0.49,0.05,9
"NGC_2236, MWSC_881","nan","nan",97.417,6.817,204.379,-1.707,0.03,0.09,0.165,-1.95,-1.41,0.22,"nan","nan",0,13,85,180,2654.0,0.562,12.3,0.27,0.18,0.01,8.75,"nan","nan",3.96,0.94,10.1,1.55,9.9,3.0,"DIAS","nan","nan","nan",0
"FSR_1031, MWSC_883","nan","nan",97.575,3.39,207.494,-3.151,0.018,0.073,0.16,0.77,-2.72,0.32,"nan","nan",0,7,30,149,1791.0,0.729,11.5,0.35,0.233,-0.02,8.635,0.056,3.0,0.87,0.38,11.55,5.72,2.3,0.83,"DIAS","irc","nan","nan",0
"Collinder_96, MWSC_884","nan","nan",97.627,2.845,208.002,-3.355,0.02,0.07,0.11,0.29,-3.09,0.57,12.0,7.4,1,4,20,31,1056.0,0.562,10.299,0.27,0.18,0.0,7.8,"nan","nan",0.71,0.21,3.29,0.84,10.33,2.25,"DIAS","nan","nan","nan",0
"Alessi_14, MWSC_885","nan","nan",97.608,9.741,201.874,-0.186,0.015,0.038,0.085,-1.95,0.13,0.71,"nan","nan",0,5,9,27,2088.0,0.625,11.8,0.3,0.2,0.0,8.6,"nan","nan",0.3,0.14,5.81,2.93,9.74,5.43,"DREM","ast","nan","nan",0
"Czernik_26, MWSC_886","nan","nan",97.755,-4.215,214.367,-6.464,0.018,0.06,0.115,-1.69,0.9,0.38,"nan","nan",0,9,39,75,7655.0,0.25,14.5,0.12,0.08,0.0,9.0,"nan","nan",2.01,0.56,17.27,4.62,1.15,0.29,"DIAS","nan",-0.38,"nan",0
"FSR_0979, MWSC_891","nan","nan",97.815,11.083,200.779,0.616,0.025,0.075,0.155,2.32,-0.22,0.36,"nan","nan",0,11,37,97,1933.0,1.145,11.8,0.55,0.367,0.03,8.7,"nan","nan",0.83,0.14,10.3,2.0,18.3,2.63,"DIAS","irc","nan","nan",0
"Collinder_97, MWSC_892","nan","nan",97.92,5.975,205.357,-1.653,0.02,0.11,0.155,-0.92,-2.18,0.27,17.9,3.91,4,5,56,136,1259.0,0.312,10.601,0.15,0.1,-0.03,8.4,"nan","nan",2.26,1.06,5.58,1.71,2.46,1.52,"COCD","nan","nan","nan",0
"Juchert_18, MWSC_893","nan","nan",97.863,6.804,204.595,-1.321,0.012,0.05,0.095,-1.81,-2.04,0.55,"nan","nan",0,1,16,41,2290.0,0.625,12.0,0.3,0.2,0.02,9.02,0.04,3.0,0.43,0.14,8.73,3.07,8.99,3.52,"DIAS","nan","nan","nan",0
"FSR_0977, MWSC_895","nan","nan",97.965,11.845,200.171,1.099,0.02,0.075,0.145,3.15,0.25,0.38,"nan","nan",0,7,33,88,1916.0,0.583,11.6,0.28,0.187,0.01,8.68,0.071,4.0,0.78,0.24,7.48,2.56,8.91,1.99,"DIAS","irc","nan","nan",0
"FSR_0974, MWSC_898","nan","nan",98.145,12.543,199.633,1.577,0.012,0.062,0.135,1.05,-1.16,0.4,"nan","nan",0,5,30,124,2308.0,0.573,12.0,0.275,0.183,-0.02,8.91,0.031,8.0,1.54,0.23,8.76,1.24,9.78,0.94,"DIAS","irc","nan","nan",0
"NGC_2240, MWSC_900","nan","nan",98.332,35.265,179.208,11.877,0.01,0.06,0.14,-1.01,-1.54,0.45,15.8,0.2,1,2,20,70,1551.0,0.146,11.0,0.07,0.047,-0.04,9.2,"nan","nan",0.6,0.18,6.87,2.2,10.97,2.71,"COCD","nan","nan","nan",0
"Berkeley_23, MWSC_902","nan","nan",98.325,20.525,192.602,5.386,0.01,0.06,0.125,-1.36,-2.34,0.46,"nan","nan",0,2,22,63,4724.0,0.4,13.5,0.192,0.128,0.0,8.97,0.02,11.0,1.44,0.32,20.64,4.99,2.09,0.48,"DIAS","nan",0.07,"nan",0
"FSR_0905, MWSC_904","nan","nan",98.427,22.288,191.065,6.268,0.02,0.075,0.155,0.35,-4.59,0.26,"nan","nan",0,6,43,136,1786.0,0.375,11.38,0.18,0.12,0.01,8.3,0.064,2.0,1.19,0.27,9.41,2.3,6.83,0.93,"FPOS","nan","nan","nan",0
"NGC_2250, MWSC_905","nan","nan",98.422,-5.08,215.445,-6.26,0.018,0.085,0.165,-0.24,-1.55,0.46,"nan","nan",0,2,28,94,1338.0,0.521,10.8,0.25,0.167,0.0,8.495,"nan","nan",0.62,0.29,6.58,3.43,4.69,1.76,"DIAS","dub","nan","nan",0
"Basel_8, MWSC_907","nan","nan",98.55,8.01,203.839,-0.16,0.015,0.09,0.17,-2.04,-0.47,0.33,11.0,7.4,1,3,44,175,1432.0,0.375,10.9,0.18,0.12,-0.02,7.925,0.099,2.0,0.97,0.39,7.95,3.4,3.71,0.88,"COCD","nan","nan","nan",0
"RMC-4b, MWSC_908","nan","nan",98.559,4.46,206.995,-1.787,0.018,0.065,0.1,-0.75,-1.26,0.55,"nan","nan",0,2,10,17,1174.0,0.625,10.549,0.3,0.2,0.0,8.29,"nan",1.0,1.29,0.96,4.33,2.51,1.2,0.8,"BIEM","irc","nan","nan",0
"FSR_1099, MWSC_910","nan","nan",98.625,-3.84,214.425,-5.52,0.01,0.085,0.14,-0.54,-0.25,0.34,"nan","nan",0,1,37,91,1952.0,0.458,11.6,0.22,0.147,0.0,8.635,"nan",1.0,1.86,0.31,7.17,0.99,7.34,0.99,"FPOS","nan","nan","nan",0
"NGC_2252, MWSC_911","nan","nan",98.625,5.37,206.217,-1.31,0.02,0.11,0.22,-1.45,-2.77,0.27,9.0,7.4,1,3,65,251,900.0,0.1,9.803,0.048,0.032,-0.05,8.86,0.02,3.0,1.1,0.59,5.8,3.0,2.69,0.76,"COCD","nan","nan","nan",0
"FSR_0848, MWSC_912","nan","nan",98.611,31.4,182.873,10.439,0.01,0.045,0.11,-2.68,-3.03,0.84,"nan","nan",0,1,8,48,3300.0,0.333,12.7,0.16,0.107,0.0,9.195,0.064,3.0,4.12,1.6,9.84,2.43,1.1,0.58,"FPOS","nan","nan","nan",0
"FSR_1106, MWSC_913","nan","nan",98.632,-5.245,215.688,-6.148,0.01,0.07,0.15,-0.97,-1.23,0.55,"nan","nan",0,3,30,92,2038.0,0.479,11.7,0.23,0.153,0.0,8.9,"nan","nan",0.59,0.18,10.96,3.8,10.22,3.16,"FPOS","nan","nan","nan",0
"NGC_2248, MWSC_915","nan","nan",98.655,26.305,187.535,8.248,0.01,0.025,0.05,-2.96,-0.92,0.53,55.6,3.9,1,2,8,13,3001.0,0.354,12.5,0.17,0.113,-0.03,9.16,"nan","nan",0.4,0.16,3.39,1.45,13.66,4.68,"DREM","ast","nan","nan",0
"NGC_2251, MWSC_916","nan","nan",98.655,8.37,203.568,0.098,0.025,0.095,0.18,-1.95,-2.34,0.23,-16.0,7.4,1,6,89,229,1329.0,0.189,10.679,0.091,0.061,0.0,8.455,0.074,3.0,1.22,0.23,7.34,1.34,11.13,1.19,"COCD","nan",0.25,0.04,0
"FSR_1063, MWSC_917","nan","nan",98.658,-0.267,211.247,-3.866,0.02,0.09,0.175,2.96,0.15,0.35,"nan","nan",0,7,59,153,2032.0,0.5,11.7,0.24,0.16,0.0,8.86,0.012,6.0,1.19,0.27,10.15,2.5,7.42,1.07,"DIAS","irc","nan","nan",0
"FSR_0935, MWSC_919","nan","nan",98.79,17.742,195.291,4.513,0.02,0.09,0.135,1.8,-2.01,0.29,"nan","nan",0,10,58,89,2955.0,0.458,12.5,0.22,0.147,0.0,8.8,"nan","nan",1.41,0.27,12.58,2.49,4.87,0.7,"FPOS","nan","nan","nan",0
"NGC_2254, MWSC_924","nan","nan",98.941,7.67,204.32,0.028,0.02,0.07,0.15,-2.09,-1.46,0.34,"nan","nan",0,5,42,87,2928.0,0.521,12.5,0.25,0.167,0.0,8.675,0.05,15.0,1.45,0.29,8.86,1.67,6.17,0.89,"DIAS","nan","nan","nan",0
"FSR_1065, MWSC_925","nan","nan",99.019,-0.667,211.769,-3.727,0.018,0.06,0.125,1.06,-1.19,0.43,"nan","nan",0,5,32,112,1551.0,0.458,11.1,0.22,0.147,0.0,8.79,"nan","nan",0.95,0.22,5.97,1.37,8.2,1.29,"DIAS","irc","nan","nan",0
"FSR_1032, MWSC_926","nan","nan",99.067,4.0,207.637,-1.548,0.01,0.045,0.1,-1.9,-0.37,0.64,"nan","nan",0,2,14,35,1944.0,1.728,12.0,0.83,0.554,0.0,8.72,"nan","nan",0.48,0.1,7.5,1.69,25.97,5.25,"FPRO","nan","nan","nan",0
"ESO_426-26, MWSC_927","nan","nan",99.075,-30.865,239.627,-16.523,0.018,0.075,0.155,0.48,0.96,0.59,"nan","nan",0,2,17,54,1474.0,0.177,10.899,0.085,0.057,0.0,9.215,"nan","nan",2.53,0.84,5.72,1.15,4.51,2.12,"DIAS","rem","nan","nan",0
"FSR_1126, MWSC_928","nan","nan",99.112,-7.32,217.77,-6.654,0.02,0.07,0.155,2.78,-5.06,0.7,"nan","nan",0,3,16,73,2201.0,0.271,11.8,0.13,0.087,0.0,9.125,"nan","nan",1.7,0.52,9.38,2.6,1.61,0.35,"FPOS","nan","nan","nan",0
"Ruprecht_1, MWSC_929","nan","nan",99.135,-14.193,224.011,-9.668,0.01,0.068,0.14,0.48,0.44,0.43,"nan","nan",0,3,23,71,1204.0,0.146,10.45,0.07,0.047,0.0,8.79,"nan","nan",0.42,0.13,4.77,1.58,24.37,6.07,"COCD","nan","nan","nan",0
"Collinder_104, MWSC_930","nan","nan",99.112,4.773,206.971,-1.153,0.01,0.055,0.1,-1.99,-1.74,0.46,"nan","nan",0,3,21,63,2025.0,0.833,11.8,0.4,0.267,0.01,8.5,"nan","nan",0.44,0.14,7.14,2.55,14.03,4.51,"DIAS","nan","nan","nan",0
"Basel_7, MWSC_932","nan","nan",99.075,8.33,203.795,0.449,0.01,0.045,0.095,-2.59,-1.75,0.61,"nan","nan",0,1,11,59,1560.0,0.416,11.1,0.2,0.133,0.0,8.105,"nan",1.0,0.6,0.21,5.41,2.01,9.68,2.2,"DIAS","nan","nan","nan",0
"Trumpler_5, MWSC_933","nan","nan",99.12,9.47,202.802,1.012,0.04,0.225,0.35,-0.24,-0.37,0.1,"nan","nan",0,37,474,792,2753.0,0.625,12.4,0.3,0.2,-0.04,9.5,"nan","nan",3.85,0.41,24.1,2.55,6.75,0.33,"DIAS","var",-0.3,0.15,0
"VDB_1, vdBergh_1, MWSC_934","nan","nan",99.255,3.07,208.55,-1.808,0.02,0.1,0.195,-0.29,-0.53,0.3,19.3,1.57,4,6,55,156,1490.0,0.729,11.1,0.35,0.233,0.0,8.315,"nan","nan",0.67,0.15,8.71,2.25,17.5,3.42,"DIAS","nan","nan","nan",0
"FSR_1151, MWSC_935","nan","nan",99.292,-10.085,220.344,-7.727,0.018,0.075,0.15,1.6,1.09,0.43,"nan","nan",0,3,31,79,2864.0,0.979,12.6,0.47,0.313,0.0,8.89,0.046,13.0,4.8,1.13,10.82,1.55,2.66,0.9,"FPOS","nan","nan","nan",0
"Collinder_106, MWSC_936","nan","nan",99.307,6.07,205.908,-0.385,0.06,0.235,0.51,-2.0,0.5,0.24,28.7,4.99,5,25,104,304,1581.0,0.312,11.095,0.15,0.1,-0.04,6.415,"nan",1.0,2.03,0.41,14.41,2.91,3.49,0.51,"COCD","nan","nan","nan",0
"Berkeley_24, MWSC_937","nan","nan",99.45,-0.867,212.144,-3.435,0.025,0.07,0.16,2.07,1.35,0.28,"nan","nan",0,14,61,213,5527.0,0.583,13.9,0.28,0.187,-0.02,9.21,"nan","nan",2.12,0.46,26.93,6.56,1.59,0.31,"DIAS","nan","nan","nan",0
"FSR_1092, MWSC_938","nan","nan",99.424,-2.819,213.875,-4.346,0.02,0.085,0.16,-1.48,-1.89,0.38,"nan","nan",0,2,41,109,1922.0,0.562,11.6,0.27,0.18,0.0,8.8,"nan","nan",3.31,0.91,7.93,1.39,3.63,1.35,"FPOS","nan","nan","nan",0
"NGC_2259, MWSC_940","nan","nan",99.633,10.875,201.785,2.105,0.025,0.1,0.18,2.66,-2.38,0.23,"nan","nan",0,13,66,117,3060.0,0.687,12.65,0.33,0.22,0.0,8.625,"nan","nan",1.84,0.26,18.33,2.79,7.68,0.72,"DIAS","nan",0.07,"nan",0
"Collinder_110, MWSC_941","nan","nan",99.675,2.035,209.663,-1.909,0.02,0.175,0.35,2.28,-2.55,0.14,"nan","nan",0,7,246,623,2362.0,0.416,12.0,0.2,0.133,-0.03,9.22,0.01,70.0,4.43,0.47,20.65,1.99,7.77,0.45,"DIAS","nan","nan","nan",0
"Collinder_107, MWSC_943","nan","nan",99.625,4.635,207.328,-0.762,0.02,0.11,0.18,-2.5,-0.26,0.29,21.6,5.77,4,4,53,104,1447.0,0.416,10.936,0.2,0.133,0.0,7.165,0.016,3.0,1.87,0.5,6.58,1.39,3.45,0.8,"COCD","nan","nan","nan",0
"Collinder_111, MWSC_944","nan","nan",99.708,6.915,205.34,0.357,0.01,0.053,0.115,-2.06,-1.6,0.55,32.0,"nan",1,2,20,86,1191.0,0.062,10.4,0.03,0.02,-0.02,7.7,"nan","nan",1.76,0.43,3.85,0.55,20.08,7.3,"DIAS","non","nan","nan",0
