"Cluster","Comment"
"COIN-Gaia_38","Tidal & Core radii: r_t=17+/-16.3 [pc], r_c=0.48+/-0.07 [pc]; stars within r_t: N~77"
"COIN-Gaia_39","Tidal & Core radii: r_t=182+/-43.3 [pc], r_c=0.31+/-0.0 [pc]; stars within r_t: N~50"
"COIN-Gaia_4","Tidal & Core radii: r_t=37+/-29.6 [pc], r_c=0.18+/-0.0 [pc]; stars within r_t: N~92"
"COIN-Gaia_41","Tidal & Core radii: r_t=33+/-48.6 [pc], r_c=0.39+/-0.07 [pc]; stars within r_t: N~58"
"COIN-Gaia_5","Tidal & Core radii: r_t=108+/-85.9 [pc], r_c=0.71+/-0.0 [pc]; stars within r_t: N~58"
"COIN-Gaia_6","Tidal & Core radii: r_t=14+/-13.1 [pc], r_c=0.55+/-0.05 [pc]; stars within r_t: N~91"
"COIN-Gaia_7","Tidal & Core radii: r_t=35+/-41.7 [pc], r_c=0.41+/-0.01 [pc]; stars within r_t: N~79"
"COIN-Gaia_8","Tidal & Core radii: r_t=105+/-70.7 [pc], r_c=0.38+/-0.0 [pc]; stars within r_t: N~108"
"COIN-Gaia_9","Tidal & Core radii: r_t=89+/-84.2 [pc], r_c=0.25+/-0.0 [pc]; stars within r_t: N~69"
"Collinder_106","Tidal & Core radii: r_t=69+/-63.6 [pc], r_c=0.27+/-0.0 [pc]; stars within r_t: N~220"
"Collinder_107","Tidal & Core radii: r_t=44+/-52.0 [pc], r_c=0.43+/-0.0 [pc]; stars within r_t: N~227"
"Collinder_110","Tidal & Core radii: r_t=25+/-2.7 [pc], r_c=0.89+/-0.0 [pc]; stars within r_t: N~727"
"Collinder_115","Tidal & Core radii: r_t=64+/-61.5 [pc], r_c=0.53+/-0.0 [pc]; stars within r_t: N~269"
"Collinder_132","Tidal & Core radii: r_t=199+/-5.6 [pc], r_c=0.33+/-0.0 [pc]; stars within r_t: N~195"
"Collinder_135","Tidal & Core radii: r_t=24+/-1.3 [pc], r_c=0.72+/-0.03 [pc]; stars within r_t: N~628"
"Collinder_140","Tidal & Core radii: r_t=81+/-43.3 [pc], r_c=0.37+/-0.0 [pc]; stars within r_t: N~242"
"Collinder_185","Tidal & Core radii: r_t=133+/-75.1 [pc], r_c=0.43+/-0.0 [pc]; stars within r_t: N~109"
"Collinder_197","Tidal & Core radii: r_t=8+/-0.6 [pc], r_c=0.58+/-0.01 [pc]; stars within r_t: N~266"
"Collinder_205","Tidal & Core radii: r_t=149+/-61.3 [pc], r_c=0.51+/-0.0 [pc]; stars within r_t: N~143"
"Collinder_220","Tidal & Core radii: r_t=47+/-44.4 [pc], r_c=0.52+/-0.0 [pc]; stars within r_t: N~183"
"Collinder_261","Tidal & Core radii: r_t=26+/-2.4 [pc], r_c=1.07+/-0.0 [pc]; stars within r_t: N~1458"
"Collinder_268","Tidal & Core radii: r_t=25+/-14.8 [pc], r_c=0.73+/-0.01 [pc]; stars within r_t: N~197"
"Collinder_269","Tidal & Core radii: r_t=49+/-53.7 [pc], r_c=0.4+/-0.0 [pc]; stars within r_t: N~120"
"Collinder_271","Tidal & Core radii: r_t=109+/-71.2 [pc], r_c=0.63+/-0.0 [pc]; stars within r_t: N~154"
"Collinder_272","Tidal & Core radii: r_t=44+/-19.3 [pc], r_c=0.53+/-0.0 [pc]; stars within r_t: N~409"
"Collinder_277","Tidal & Core radii: r_t=89+/-63.8 [pc], r_c=0.73+/-0.0 [pc]; stars within r_t: N~241"
"Collinder_292","Tidal & Core radii: r_t=32+/-29.1 [pc], r_c=0.57+/-0.0 [pc]; stars within r_t: N~150"
"Collinder_307","Tidal & Core radii: r_t=20+/-4.6 [pc], r_c=0.71+/-0.0 [pc]; stars within r_t: N~170"
"Collinder_338","Tidal & Core radii: r_t=133+/-71.3 [pc], r_c=0.39+/-0.0 [pc]; stars within r_t: N~144"
"Collinder_350","Tidal & Core radii: r_t=30+/-5.3 [pc], r_c=0.6+/-0.02 [pc]; stars within r_t: N~182"
"Collinder_394","Tidal & Core radii: r_t=21+/-2.3 [pc], r_c=0.72+/-0.02 [pc]; stars within r_t: N~553"
"Collinder_419","Tidal & Core radii: r_t=16+/-2.5 [pc], r_c=0.53+/-0.01 [pc]; stars within r_t: N~305"
"Collinder_421","Tidal & Core radii: r_t=29+/-9.1 [pc], r_c=0.65+/-0.01 [pc]; stars within r_t: N~222"
