"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"OC 0064","oc0064",58.0,2.7,282.46088,-0.33284,32.45753,0.19851,0.4896,-0.3983,-1.9646,-31.6255,3.0,2.055,0.0071,5.06,0.4623,2.85,"nan",35.0,21.0,0.5455,0.0926,1536.0,"nan","nan","nan","nan","AB",0.64,0.2,"n"
"OC 0065","oc0065",46.0,3.5,282.36084,3.33882,35.6701,1.95574,0.5871,1.6851,-1.2952,1.6244,7.0,2.27,0.9192,5.24,2.071,2.61,"nan",236.0,3567.0,0.6385,0.2567,2750.0,"nan","nan","nan","nan","AB",0.0,0.54,"n"
"OC 0066","oc0066",40.0,16.3,279.45913,5.24547,36.08694,5.3924,2.1259,1.2225,-4.9935,-25.2913,30.0,"nan","nan",4.85,"nan","nan","nan",1000.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BB",1.0,0.0,"n"
"OC 0067","oc0067",41.0,12.9,277.0043,6.72103,36.33105,8.26028,2.5396,1.3128,-1.6863,-28.7095,33.0,"nan","nan",0.77,"nan","nan","nan",501.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"OC 0068","oc0068",27.0,13.4,274.55306,11.87772,39.94843,12.66355,1.7018,-0.9648,-7.1804,-5.8008,12.0,"nan","nan",0.86,"nan","nan","nan",20.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"OC 0069","oc0069",26.0,20.7,294.76804,2.27758,40.48476,-9.51974,1.4994,0.2633,-2.2318,-9.38895,8.0,0.625,0.0212,0.65,0.4105,0.82,"nan",79.0,25.0,0.1585,0.5353,"nan","nan","nan","nan","nan","CC",0.42,0.1,"n"
"OC 0070","oc0070",35.0,12.6,290.39389,9.01266,44.41807,-2.51981,1.1494,0.7901,-3.5219,-11.4607,11.0,0.875,0.0636,1.82,0.4368,2.13,"nan",40.0,1.0,0.101,0.0156,262.0,"nan","nan","nan","nan","AB",0.0,0.46,"n"
"OC 0071","oc0071",71.0,1.2,288.8768,11.27033,45.68541,-0.13611,0.2637,-1.0946,-3.701,32.5377,5.0,"nan","nan",2.11,"nan","nan","nan",1585.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0072","oc0072",38.0,1.4,287.91574,12.04576,45.94002,1.05905,0.2152,-1.1978,-4.2114,25.9363,10.0,"nan","nan",2.4,"nan","nan","nan",200.0,"nan",0.274,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0073","oc0073",21.0,3.1,288.1845,12.00763,46.02697,0.80922,0.2514,-1.4628,-4.3518,23.5324,1.0,3.865,0.2899,4.25,0.1617,2.04,"nan",42.0,267.0,0.111,0.0014,1195.0,"nan","nan","nan","nan","AB",0.0,0.32,"n"
"OC 0074","oc0074",26.0,1.7,286.72828,13.2449,46.46894,2.64089,0.2816,-1.7628,-4.9716,25.16185,8.0,"nan","nan",4.82,"nan","nan","nan",200.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"OC 0075","oc0075",9.0,8.8,290.21607,15.58823,50.08587,0.71,0.309,-1.3732,-3.92,24.51545,2.0,"nan","nan",4.85,"nan","nan","nan",631.0,"nan",0.537,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"OC 0076","oc0076",28.0,2.5,292.42844,15.53536,51.06967,-1.17112,0.259,-2.4308,-4.7692,19.16095,12.0,"nan","nan",3.36,"nan","nan","nan",1259.0,"nan",0.274,"nan","nan","nan","nan","nan","nan","AB",0.96,0.01,"n"
"OC 0077","oc0077",29.0,13.6,294.84818,16.56656,53.11715,-2.70017,1.0811,-0.8826,-5.916,-11.7707,5.0,0.81,0.0849,1.0,0.5021,1.56,"nan",28.0,43.0,-0.349,0.652,116.0,"nan","nan","nan","nan","CB",0.0,0.32,"n"
"OC 0078","oc0078",32.0,5.0,291.70301,19.61972,54.33361,1.39771,0.5918,-0.504,-3.4434,16.02695,6.0,1.62,0.0283,4.03,0.4744,1.98,"nan",181.0,59.0,0.1945,0.0361,383.0,"nan","nan","nan","nan","AB",0.0,0.51,"n"
"OC 0079","oc0079",26.0,7.9,296.24357,17.53877,54.61712,-3.40111,1.1335,-0.8522,-5.8522,-7.30455,12.0,"nan","nan",1.56,"nan","nan","nan",32.0,"nan",0.323,"nan","nan","nan","nan","nan","nan","BB",1.0,0.0,"n"
"OC 0080","oc0080",27.0,2.3,292.65226,20.26431,55.33363,0.90863,0.4229,-2.8989,-6.4755,57.0686,1.0,"nan","nan",2.21,"nan","nan","nan",3.0,"nan",0.274,"nan","nan","nan","nan","nan","nan","AB",0.93,0.03,"n"
"OC 0081","oc0081",50.0,13.5,291.80349,20.88164,55.56864,1.87304,2.0148,1.6528,-6.7814,-11.0097,13.0,0.9,"nan",3.62,1.7395,"nan","nan",8.0,7.0,0.4305,0.2553,156.0,"nan",0.52,"nan","nan","AA",0.0,0.5,"n"
"OC 0082","oc0082",41.0,2.9,295.41494,19.03667,55.53556,-1.95553,0.3417,-1.883,-5.2859,"nan",0.0,"nan","nan",1.06,"nan","nan","nan",316.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0083","oc0083",87.0,8.4,291.7554,21.10341,55.66823,2.05259,1.9944,1.5836,-6.7374,-8.47285,22.0,"nan","nan",0.72,"nan","nan","nan",4.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","AA",0.0,0.54,"n"
"OC 0084","oc0084",60.0,2.2,294.03652,20.55685,56.20982,-0.07773,0.3508,-1.1576,-3.9596,32.3462,8.0,2.685,0.1909,4.14,1.3838,2.8,"nan",103.0,35.0,0.2605,0.2963,1930.0,"nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0085","oc0085",40.0,1.9,296.39644,21.16584,57.83596,-1.69776,0.4557,-0.3799,-3.5356,-18.0491,14.0,"nan","nan",1.01,"nan","nan","nan",10.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"OC 0086","oc0086",14.0,5.2,291.73578,23.88386,58.11863,3.37197,0.5694,-1.5007,-4.9806,12.5439,1.0,"nan","nan",4.63,"nan","nan","nan",1.0,"nan",0.414,"nan","nan","nan","nan","nan","nan","BC",0.0,0.15,"y"
"OC 0087","oc0087",21.0,2.6,295.78972,23.32302,59.4158,-0.13095,0.4608,-1.7969,-5.2968,35.51965,2.0,"nan","nan",4.61,"nan","nan","nan",6.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","CA",0.92,0.03,"n"
"OC 0088","oc0088",47.0,1.4,299.26741,28.4516,65.424,-0.21991,0.2925,-1.8798,-4.8446,9.0248,5.0,"nan","nan",4.46,"nan","nan","nan",200.0,"nan",0.274,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0089","oc0089",55.0,1.5,299.26759,28.44971,65.424,-0.22218,0.3125,-1.8942,-4.8362,9.3065,3.0,"nan","nan",3.53,"nan","nan","nan",2.0,"nan",0.223,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0090","oc0090",16.0,1.7,298.06551,29.39592,65.68972,1.16742,0.2485,-2.4821,-5.0842,"nan",0.0,"nan","nan",2.78,"nan","nan","nan",8.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0091","oc0091",78.0,1.4,299.64392,30.81278,67.61248,0.7339,0.1852,-3.6307,-6.0384,5.79465,2.0,"nan","nan",1.51,"nan","nan","nan",20.0,"nan",0.169,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0092","oc0092",20.0,1.1,299.54093,30.88187,67.62664,0.84772,0.1515,-2.6181,-4.9043,-14.4694,7.0,"nan","nan",4.37,"nan","nan","nan",200.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"OC 0093","oc0093",80.0,2.6,299.25043,31.61381,68.12458,1.44538,0.2867,-2.3794,-4.1938,-27.8154,17.0,"nan","nan",3.34,"nan","nan","nan",1000.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0094","oc0094",13.0,7.1,300.8529,30.77656,68.11093,-0.16521,0.2287,-2.9176,-5.3254,-15.4273,1.0,"nan","nan",2.3,"nan","nan","nan",13.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"OC 0095","oc0095",60.0,3.3,304.14526,29.77948,68.83383,-3.1034,0.543,-3.6958,-5.6245,43.9602,3.0,1.945,0.2616,4.32,0.0723,2.65,"nan",32.0,27.0,0.432,0.2234,700.0,"nan","nan","nan","nan","AA",0.0,0.61,"n"
"OC 0096","oc0096",24.0,4.2,298.79587,33.50534,69.54162,2.74812,0.3643,-2.0156,-5.8255,"nan",0.0,"nan","nan",2.59,"nan","nan","nan",3.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"OC 0097","oc0097",27.0,2.3,299.83104,33.74083,70.19203,2.13394,0.2612,-3.5144,-6.4575,"nan",0.0,"nan","nan",0.34,"nan","nan","nan",2.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0098","oc0098",24.0,0.9,300.31757,33.61518,70.30205,1.72217,0.2726,-2.334,-5.102,-3.3843,1.0,"nan","nan",0.82,"nan","nan","nan",126.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"OC 0099","oc0099",60.0,1.2,300.32116,33.6126,70.29948,1.71844,0.2802,-2.3364,-5.0739,-3.05255,2.0,"nan","nan",4.18,"nan","nan","nan",13.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",0.98,0.01,"n"
"OC 0100","oc0100",24.0,11.9,302.80895,33.67858,71.45607,0.03578,1.8469,2.0548,-1.2272,-17.0001,18.0,"nan","nan",1.94,"nan","nan","nan",158.0,"nan",0.223,"nan","nan","nan","nan","nan","nan","DA",1.0,0.0,"n"
"OC 0101","oc0101",44.0,0.6,302.50839,34.96677,72.41046,0.9214,0.2277,-3.3742,-5.126,"nan",0.0,"nan","nan",3.14,"nan","nan","nan",2.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0102","oc0102",26.0,8.1,301.71112,35.6428,72.61508,1.8388,0.5316,-3.0985,-6.611,-17.9498,3.0,"nan","nan",3.12,"nan","nan","nan",8.0,"nan",0.223,"nan","nan","nan","nan","nan","nan","AB",0.69,0.08,"n"
"OC 0103","oc0103",32.0,2.3,301.60939,36.42238,73.24058,2.3237,0.3512,-2.5397,-5.1132,"nan",0.0,"nan","nan",2.69,"nan","nan","nan",20.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","BA",0.56,0.18,"n"
"OC 0104","oc0104",32.0,0.9,303.09654,35.76581,73.3403,0.9551,0.1594,-2.8968,-5.3316,-29.1948,1.0,"nan","nan",0.55,"nan","nan","nan",126.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","AA",0.0,0.46,"n"
"OC 0105","oc0105",16.0,11.6,301.98779,36.82755,73.74849,2.26161,0.4946,-2.8877,-5.9329,-48.8106,3.0,"nan","nan",3.26,"nan","nan","nan",5.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"OC 0106","oc0106",67.0,2.0,305.08154,35.11166,73.70266,-0.75323,0.3578,-1.0405,-3.6427,-12.09275,2.0,2.525,0.0212,3.94,0.5532,2.37,"nan",148.0,86.0,0.2915,0.0969,796.0,"nan","nan","nan","nan","BB",0.0,0.52,"n"
"OC 0107","oc0107",30.0,7.5,305.03168,36.18696,74.57978,-0.10882,0.5506,-2.3692,-4.4816,"nan",0.0,1.645,0.1768,2.69,0.6194,0.84,"nan",48.0,27.0,0.3635,0.1322,191.0,"nan","nan","nan","nan","CB",0.0,0.31,"n"
"OC 0108","oc0108",27.0,6.3,305.93226,35.9236,74.77029,-0.84241,0.5354,-2.3942,-4.5119,"nan",0.0,"nan","nan",3.24,"nan","nan","nan",8.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","CB",0.37,0.14,"n"
"OC 0109","oc0109",16.0,10.7,305.6879,36.09377,74.78161,-0.55726,0.5217,-2.3963,-4.5518,-67.0084,1.0,"nan","nan",4.15,"nan","nan","nan",10.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","DC",0.24,0.03,"y"
"OC 0110","oc0110",18.0,14.7,306.02539,36.23292,75.06024,-0.763,0.5325,-2.3736,-4.371,16.2404,1.0,"nan","nan",0.24,"nan","nan","nan",10.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","DB",0.56,0.03,"n"
"OC 0111","oc0111",25.0,1.8,304.24759,38.04965,75.75629,1.46065,0.2245,-2.4418,-4.4958,-0.144,1.0,"nan","nan",4.85,"nan","nan","nan",3.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0112","oc0112",30.0,2.2,304.25838,38.05987,75.76861,1.45932,0.2434,-2.4313,-4.5036,-2.6078,7.0,"nan","nan",1.01,"nan","nan","nan",631.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0113","oc0113",76.0,3.1,307.70986,37.46838,76.85049,-1.11728,0.5525,-0.3078,-3.4014,1.0408,3.0,2.015,0.4455,4.84,0.1274,2.83,"nan",83.0,62.0,0.462,0.2659,838.0,"nan","nan","nan","nan","AB",0.0,0.58,"n"
"OC 0114","oc0114",24.0,7.7,305.8059,38.93915,77.20067,0.93719,0.5687,-3.4197,-5.7251,5.1611,1.0,"nan","nan",4.1,"nan","nan","nan",5.0,"nan",0.169,"nan","nan","nan","nan","nan","nan","CB",0.08,0.13,"y"
"OC 0115","oc0115",32.0,4.9,306.14137,38.98901,77.38436,0.79219,1.0348,-1.4424,-3.5498,19.5374,1.0,2.305,1.9021,2.79,1.1435,2.13,"nan",23.0,788.0,0.1655,0.63,336.0,"nan","nan","nan","nan","AB",0.0,0.51,"n"
"OC 0116","oc0116",42.0,9.4,304.68816,40.04372,77.60028,2.30155,0.5688,-3.4066,-5.19,-47.1594,1.0,"nan","nan",2.52,"nan","nan","nan",8.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AB",0.69,0.1,"n"
"OC 0117","oc0117",21.0,7.2,306.89527,38.86616,77.62832,0.21042,0.5917,-0.2012,-2.8291,38.30095,4.0,"nan","nan",4.54,"nan","nan","nan",16.0,"nan",0.414,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0118","oc0118",74.0,4.4,303.68089,41.22096,78.14312,3.58288,0.5538,-3.9604,-4.5446,-63.7868,5.0,"nan","nan",4.85,"nan","nan","nan",5.0,"nan",0.537,"nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"OC 0119","oc0119",20.0,7.3,306.78046,39.60749,78.14275,0.706,0.5826,-2.5318,-5.0193,"nan",0.0,"nan","nan",4.37,"nan","nan","nan",1.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","BB",0.0,0.16,"y"
"OC 0120","oc0120",28.0,2.0,307.20526,39.60178,78.34916,0.45553,0.5016,-3.581,-5.3488,-10.7305,1.0,2.01,0.2687,4.49,1.2299,2.73,"nan",79.0,335.0,0.2735,0.3726,641.0,"nan","nan","nan","nan","CA",0.0,0.48,"n"
"OC 0121","oc0121",23.0,2.1,306.34452,40.2119,78.4657,1.34894,0.5782,-3.1636,-4.3346,61.52635,2.0,"nan","nan",4.85,"nan","nan","nan",4.0,"nan",0.223,"nan","nan","nan","nan","nan","nan","AA",0.96,0.02,"n"
"OC 0122","oc0122",35.0,8.3,305.64279,40.78596,78.64761,2.1526,0.5721,-3.2396,-5.3916,-67.2096,5.0,"nan","nan",4.39,"nan","nan","nan",8.0,"nan",0.112,"nan","nan","nan","nan","nan","nan","AB",0.77,0.07,"n"
"OC 0123","oc0123",36.0,5.2,306.35312,40.84935,78.98698,1.70876,0.5594,-3.0259,-4.7323,-20.5795,1.0,1.8,0.0849,3.24,0.2707,2.39,"nan",11.0,2.0,0.3705,0.3401,280.0,"nan","nan","nan","nan","CB",0.94,0.02,"n"
"OC 0124","oc0124",66.0,4.0,306.40589,40.90849,79.05165,1.7125,0.5106,-3.0953,-4.1786,45.72415,2.0,1.63,0.3818,3.04,0.6929,2.18,"nan",64.0,54.0,0.0655,0.7715,380.0,"nan","nan","nan","nan","BA",0.88,0.07,"n"
"OC 0125","oc0125",49.0,3.5,310.76506,38.44472,79.08464,-2.44745,0.3433,-2.72,-4.2956,8.7968,1.0,2.555,0.2051,3.38,0.7862,2.78,"nan",32.0,25.0,0.2115,0.0163,839.0,"nan","nan","nan","nan","CA",0.0,0.52,"n"
"OC 0126","oc0126",25.0,4.5,304.45869,42.11493,79.2166,3.61333,0.5837,-1.6688,-3.1564,-20.87355,10.0,1.61,0.0424,1.81,1.7668,1.33,"nan",811.0,215.0,0.35,0.335,117.0,"nan","nan","nan","nan","BA",0.0,0.52,"n"
"OC 0127","oc0127",18.0,8.3,304.29507,42.80065,79.67515,4.06653,0.5014,-3.0353,-4.5715,"nan",0.0,1.96,0.1131,2.55,1.1082,2.5,"nan",69.0,26.0,0.6655,0.0771,1044.0,"nan","nan","nan","nan","BB",0.12,0.2,"y"
"OC 0128","oc0128",403.0,13.0,307.97773,40.80027,79.67727,0.6928,0.5781,-2.9709,-4.3952,38.316,20.0,2.045,0.502,4.71,0.87,3.16,"nan",11.0,25.0,0.6205,0.0134,1268.0,"nan","nan","nan","nan","AA",0.0,0.67,"n"
"OC 0129","oc0129",111.0,6.2,308.05966,41.46167,80.23796,1.01756,0.58,-2.5336,-4.0446,57.0808,8.0,"nan","nan",0.94,"nan","nan","nan",4.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AB",0.5,0.25,"n"
"OC 0130","oc0130",24.0,4.0,306.57064,42.63786,80.52657,2.61496,0.5024,-3.0716,-4.2988,"nan",0.0,1.74,0.099,2.23,0.1861,2.13,"nan",25.0,4.0,0.2555,0.5028,281.0,"nan","nan","nan","nan","DB",0.0,0.33,"n"
"OC 0131","oc0131",55.0,4.3,309.62831,42.47605,81.73895,0.71237,0.6261,-2.3748,-3.3443,-11.7695,2.0,"nan","nan",3.17,"nan","nan","nan",1.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",0.76,0.12,"n"
"OC 0132","oc0132",22.0,1.1,310.0133,42.96627,82.29958,0.77326,0.6501,-2.4976,-3.6408,-29.0842,1.0,"nan","nan",4.85,"nan","nan","nan",1.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
"OC 0133","oc0133",59.0,2.6,307.39958,44.63569,82.51132,3.28689,0.4478,-2.073,-2.8051,"nan",0.0,2.135,0.1202,2.84,1.1634,2.56,"nan",35.0,13.0,0.223,0.5249,554.0,"nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0134","oc0134",21.0,0.9,311.204,43.89307,83.56353,0.66806,0.383,-3.3134,-3.9546,"nan",0.0,"nan","nan",2.83,"nan","nan","nan",1.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0135","oc0135",63.0,3.4,310.3661,46.13188,84.96155,2.5127,0.4119,-2.2529,-4.4809,"nan",0.0,"nan","nan",3.89,"nan","nan","nan",20.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","DA",1.0,0.0,"n"
"OC 0136","oc0136",24.0,2.1,314.57464,43.89557,85.11949,-1.20274,1.2896,-0.635,-3.0973,-29.4315,1.0,"nan","nan",2.9,"nan","nan","nan",1.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AC",0.0,0.32,"n"
"OC 0137","oc0137",21.0,6.4,318.49463,41.92319,85.57837,-4.65729,0.537,-3.4528,-4.6803,-12.3589,3.0,1.84,0.0424,2.29,1.2124,1.38,"nan",316.0,174.0,0.22,0.3199,145.0,"nan","nan","nan","nan","AB",0.0,0.34,"n"
"OC 0138","oc0138",32.0,2.4,314.17504,46.90898,87.22283,0.97402,0.2448,-2.835,-4.8713,-30.0086,8.0,"nan","nan",2.95,"nan","nan","nan",316.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0139","oc0139",57.0,1.3,317.59274,45.59774,87.8147,-1.66205,0.1494,-3.094,-3.4432,-69.6242,2.0,5.16,1.5839,2.11,0.3331,1.75,"nan",33.0,25.0,0.0385,0.5918,1136.0,"nan","nan","nan","nan","AA",0.0,0.61,"n"
"OC 0140","oc0140",25.0,9.1,317.93177,46.86549,88.89954,-0.97232,1.3469,0.4265,-3.1419,1.6638,6.0,0.775,0.0778,1.59,1.155,1.02,"nan",6.0,3.0,0.1905,0.5947,"nan","nan","nan","nan","nan","AB",0.0,0.4,"n"
"OC 0141","oc0141",36.0,1.1,318.03116,47.77388,89.60654,-0.39255,0.2826,-4.5973,-5.6426,-48.2695,4.0,"nan","nan",4.34,"nan","nan","nan",251.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","DA",1.0,0.0,"n"
"OC 0142","oc0142",23.0,9.0,322.54375,45.59606,90.24241,-4.12304,0.6294,-3.3509,-4.4748,-13.5144,5.0,1.67,0.1131,0.85,1.1812,0.75,"nan",267.0,116.0,0.4985,0.0587,92.0,"nan","nan","nan","nan","BB",0.0,0.25,"n"
"OC 0143","oc0143",25.0,2.8,319.67697,49.07544,91.31373,-0.28958,0.3891,-3.6186,-4.1807,-52.416,3.0,2.67,0.3394,3.33,1.1065,2.18,"nan",240.0,35.0,0.339,0.2249,538.0,"nan","nan","nan","nan","DA",0.0,0.45,"n"
"OC 0144","oc0144",21.0,4.1,317.00924,50.9658,91.49677,2.26071,0.4272,0.3463,-2.5998,-7.7976,2.0,2.815,0.9263,4.47,0.9637,3.06,"nan",68.0,3606.0,0.4215,0.1393,925.0,"nan","nan","nan","nan","CB",0.0,0.28,"n"
"OC 0145","oc0145",48.0,2.3,318.61018,50.4262,91.79029,1.1621,0.344,-4.5085,-4.8288,3.06405,2.0,2.82,0.2263,4.63,0.0862,1.98,"nan",65.0,89.0,0.4605,0.2128,840.0,"nan","nan","nan","nan","BB",0.0,0.5,"n"
"OC 0146","oc0146",83.0,3.5,317.65083,51.68178,92.29601,2.46275,0.3851,-2.4088,-2.5197,-34.0755,5.0,2.645,0.4313,4.99,2.3718,2.78,"nan",57.0,3612.0,0.7155,0.1478,1803.0,"nan","nan","nan","nan","AA",0.0,0.63,"n"
"OC 0147","oc0147",28.0,1.0,320.97195,49.92488,92.4972,-0.27315,0.299,-4.1082,-5.1499,-44.6512,1.0,"nan","nan",3.98,"nan","nan","nan",6.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0148","oc0148",191.0,4.8,321.89458,49.69151,92.76767,-0.85832,0.3884,-3.9318,-4.9712,-14.0452,2.0,2.585,0.2758,2.6,1.3167,2.62,"nan",42.0,74.0,0.7505,0.1973,1829.0,"nan","nan","nan","nan","AA",0.98,0.01,"n"
"OC 0149","oc0149",49.0,4.0,316.70656,53.01046,92.88305,3.77261,0.5565,-2.3005,-2.2412,-13.6237,2.0,2.13,0.6223,4.1,0.6338,2.83,"nan",23.0,32.0,0.3155,0.3741,506.0,"nan","nan","nan","nan","BB",0.0,0.5,"n"
"OC 0150","oc0150",181.0,4.2,321.5439,52.71354,94.70154,1.48085,0.5077,-3.1596,-3.7782,-11.1041,29.0,1.895,0.0212,3.94,0.2536,2.68,"nan",324.0,53.0,0.1005,0.07,1702.0,"nan","nan","nan","nan","AA",0.98,0.01,"n"
"OC 0151","oc0151",21.0,7.7,330.8062,46.47533,95.22674,-7.14699,0.3254,-3.4106,-4.7927,-72.9031,1.0,"nan","nan",2.5,"nan","nan","nan",2512.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"OC 0152","oc0152",35.0,1.2,322.75535,52.83775,95.31541,1.06638,0.3059,-2.8721,-3.1086,"nan",0.0,"nan","nan",3.89,"nan","nan","nan",6.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0153","oc0153",31.0,6.0,317.06127,56.43975,95.55696,5.96148,0.6269,-2.889,-3.933,-31.1945,1.0,1.555,0.0212,2.68,0.522,2.05,"nan",63.0,25.0,0.379,0.1683,302.0,"nan","nan","nan","nan","BB",0.0,0.42,"n"
"OC 0154","oc0154",74.0,12.8,339.0346,39.99962,96.59365,-15.88064,2.033,-2.0072,-4.4136,-15.94695,14.0,"nan","nan",0.91,"nan","nan","nan",10.0,"nan",0.169,"nan","nan","nan","nan","nan","nan","AA",0.28,0.38,"n"
"OC 0155","oc0155",43.0,7.4,338.69731,40.64084,96.74133,-15.16143,1.999,-2.4189,-3.7137,-15.0575,6.0,"nan","nan",4.54,"nan","nan","nan",4.0,"nan",0.051,"nan","nan","nan","nan","nan","nan","AA",0.0,0.49,"n"
"OC 0156","oc0156",10.0,7.5,330.05111,49.7589,96.79003,-4.27309,0.234,-2.2132,-2.1616,-79.5534,1.0,"nan","nan",3.26,"nan","nan","nan",1995.0,"nan",0.537,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"OC 0157","oc0157",55.0,0.9,325.98785,53.71987,97.34611,0.43121,0.2793,-4.0702,-4.1591,-50.9417,1.0,"nan","nan",0.7,"nan","nan","nan",10.0,"nan",0.575,"nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"OC 0158","oc0158",24.0,17.8,318.23983,59.50958,98.30409,7.52392,1.1642,-2.539,-3.5097,-24.6455,11.0,0.84,"nan",1.57,0.7354,0.64,"nan",11.0,3.0,0.575,"nan",87.0,"nan","nan","nan","nan","BB",0.88,0.02,"n"
"OC 0159","oc0159",10.0,9.4,324.21283,56.93335,98.69579,3.46776,0.3349,-2.7312,-3.0706,-52.0367,2.0,"nan","nan",1.01,"nan","nan","nan",1000.0,"nan",0.537,"nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"OC 0160","oc0160",22.0,12.4,322.27761,58.72748,99.16871,5.54638,1.0505,-2.2864,-4.007,-42.832,3.0,0.99,0.099,2.12,1.1485,2.28,"nan",4.0,3.0,-0.0295,0.1138,100.0,"nan","nan","nan","nan","AB",0.0,0.32,"n"
"OC 0161","oc0161",12.0,9.2,330.32016,54.36237,99.7397,-0.66299,0.3084,-3.2588,-3.2724,-56.4326,1.0,"nan","nan",3.48,"nan","nan","nan",126.0,"nan",0.498,"nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"OC 0162","oc0162",20.0,2.7,332.68183,52.90251,100.01159,-2.66693,0.3082,-3.9067,-3.282,"nan",0.0,"nan","nan",1.46,"nan","nan","nan",6.0,"nan",0.611,"nan","nan","nan","nan","nan","nan","CA",1.0,0.0,"n"
"OC 0163","oc0163",24.0,2.6,332.6892,52.88911,100.0087,-2.67944,0.2736,-3.837,-3.3415,"nan",0.0,"nan","nan",3.14,"nan","nan","nan",16.0,"nan",0.414,"nan","nan","nan","nan","nan","nan","BA",1.0,0.0,"n"
