"Name","RA_ICRS","DE_ICRS","GLON","GLAT","pmRA","pmDE","Plx","d_pc","RV","logt","Av","diffAV50","CST","N","r50pc","CMDCl50"
"UFMG_65             ",258.9517119,-33.74291875,352.48608429,2.673,1.50926468,-1.44553298,0.93677211,1035.17213579,4.90427952,6.50648189,1.1087864,0.91029218,8.34773695,34,0.89,0.979
"UFMG_66             ",260.86031974,-32.04667945,354.79620116,2.329,-1.22078039,-2.44947349,0.5761852,1578.54313244,-56.82562456,7.13341331,2.47192311,2.25323462,7.56988378,75,3.12,0.424
"UFMG_69             ",264.51725276,-29.50507398,358.64702802,1.099,-0.39276443,-0.24764347,0.28288803,3127.28730104,19.77179045,7.13358712,5.80676723,3.04254091,16.21012721,178,7.26,0.042
"UFMG_70             ",264.27859599,-29.90604894,358.19732048,1.059,1.34867195,0.5870387,0.52364472,1782.83685716,-16.35395284,7.66263986,2.9542129,2.23706818,8.56970118,49,4.89,0.882
"UFMG_71             ",265.55302126,-27.33554733,0.96975139,1.479,0.74412318,-1.78356794,0.65385557,1422.44113554,"nan",7.72020626,2.46588159,0.70495197,6.96329327,26,1.51,0.995
"UFMG_73             ",269.08388873,-21.87303567,7.30664768,1.535,2.00781936,0.80571382,0.46538502,1962.41470508,32.88000406,7.79328871,3.18218398,1.95269299,9.86064524,73,3.63,0.918
"UFMG_74             ",269.74041646,-20.58279325,8.73053776,1.651,-0.45197634,-1.82932388,0.32400081,2722.33231245,5.47133939,7.72860241,4.45161939,2.92807615,8.74091181,125,1.91,0.05
"UFMG_75             ",270.22665911,-20.22274602,9.26959093,1.434,0.21605726,-0.1225425,0.35507811,2458.38983916,51.53721333,8.25904226,4.86010194,2.61491716,8.45841904,53,1.9,0.653
"UFMG_78             ",268.59917732,-24.89289791,4.47392015,0.3969,-0.58187348,-3.09191678,0.40009619,2280.54477972,"nan",7.96951199,3.23055351,1.90500647,11.44882511,67,1.81,0.514
"UFMG_80             ",270.18524353,-22.1818115,7.54873016,0.4964,1.19632405,0.27927854,0.427149,2094.22503171,-30.34118754,7.98327446,3.43862021,2.15643799,12.53423319,71,2.28,0.364
"UFMG_81             ",270.14101037,-22.43568443,7.30799417,0.4059,0.3910903,-1.85796622,0.40100747,2182.83627123,145.42777027,6.97514319,4.58214092,2.75264621,13.87098408,97,1.99,0.722
