"Name","RAJ2000","DEJ2000","Diam","E(B-V)","e_E(B-V)","Eratio","Dm","e_Dm","Dist","e_Dist","Age","e_Age"
"SAI 122",225.0163,-58.8036,8.0,2.26,0.43,0.65,11.12,0.04,1670.0,30.0,8.25,0.15
"SAI 123",242.0725,-50.535,7.0,1.35,0.18,0.61,11.35,0.18,1860.0,160.0,9.2,0.05
"SAI 124,FSR 1744",252.8992,-42.4297,3.0,2.58,0.34,0.61,12.48,0.26,3130.0,400.0,8.85,0.2
"SAI 125,FSR 31",271.6158,-21.3908,5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 126",273.3612,-17.8803,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 127,FSR 124",286.72,13.2456,4.0,0.98,0.12,0.6,11.56,0.41,2050.0,430.0,9.1,0.05
"SAI 128,FSR 133",292.4454,15.5642,6.0,2.26,0.45,0.66,11.59,0.12,2080.0,120.0,8.35,0.05
"SAI 129,FSR 160",296.1846,26.9022,3.0,1.42,0.05,0.56,14.38,0.3,7520.0,1110.0,8.95,0.05
"SAI 130,FSR 158",296.9921,26.0319,8.0,1.17,0.04,0.65,12.78,0.11,3600.0,190.0,8.3,"nan"
"SAI 131,FSR 154",297.0033,23.3481,3.0,0.7,0.13,0.53,12.23,0.05,2790.0,70.0,9.05,0.05
"SAI 132",299.2563,31.6086,8.0,0.94,0.09,0.59,12.28,0.06,2860.0,80.0,8.75,0.05
"SAI 133",300.4946,31.4383,4.0,1.8,0.05,0.61,13.94,0.16,6140.0,470.0,7.85,0.05
"SAI 134,FSR 198",300.6117,35.6761,4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 135",300.7329,24.5547,5.0,1.34,0.29,0.68,12.89,0.06,3780.0,110.0,9.1,0.05
"SAI 136,Kronberger 36",301.1488,35.2175,6.0,0.76,0.18,0.68,11.4,0.26,1900.0,240.0,8.4,"nan"
"SAI 137",312.4692,41.255,6.0,0.89,0.08,0.58,10.12,0.24,1060.0,120.0,8.7,"nan"
"Berkeley 53",313.9804,51.0483,10.0,1.31,0.2,0.59,12.74,0.13,3530.0,220.0,9.15,0.05
"SAI 138,FSR 275",314.1792,46.8875,10.0,0.76,0.05,0.57,11.98,0.11,2490.0,130.0,9.25,0.05
"SAI 139,Teutsch 22",315.42,44.1119,2.0,0.86,0.13,0.63,12.16,0.33,2700.0,440.0,8.55,0.05
"SAI 140,FSR 282",315.5838,48.1072,4.0,0.78,0.01,0.53,11.79,0.12,2280.0,130.0,9.05,0.05
"SAI 142,Teutsch 156",315.9446,47.215,3.0,0.94,0.04,0.6,12.97,0.22,3930.0,420.0,8.95,0.05
"SAI 141",315.9454,46.9806,3.0,0.94,0.04,0.6,13.47,0.16,4940.0,380.0,8.6,0.05
"SAI 143",317.7142,50.3086,3.0,1.72,0.24,0.62,14.07,0.17,6520.0,530.0,9.25,0.05
"SAI 144,Teutsch 74",326.4317,58.0842,4.0,1.05,0.17,0.64,12.12,0.53,2650.0,730.0,9.05,0.05
"SAI 145,FSR 336",327.6979,55.2753,8.0,0.55,0.09,0.54,11.67,0.37,2160.0,400.0,8.9,0.05
"SAI 146,FSR 342",331.9108,53.1025,8.0,0.27,0.01,0.56,11.52,0.47,2010.0,490.0,9.05,0.05
"SAI 147,FSR 394",343.77,58.7147,5.0,0.7,0.04,0.51,13.73,0.21,5570.0,570.0,9.4,0.05
"SAI 148,FSR 430",348.8729,64.1661,5.0,1.08,0.2,0.66,11.93,0.05,2430.0,60.0,8.05,0.05
"SAI 149",354.5071,60.5492,7.0,1.29,0.3,0.69,11.87,0.07,2370.0,80.0,8.2,"nan"
"SAI 150,FSR 441",355.495,58.5414,5.0,0.78,0.14,0.64,11.84,0.04,2330.0,40.0,8.55,0.05
"SAI 151,FSR 465",357.7271,66.1803,5.0,0.78,0.04,0.51,13.6,0.1,5250.0,250.0,9.2,0.05
"SAI 152,FSR 469",359.2683,65.4144,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 153,FSR 460",359.7792,60.6778,7.0,0.86,0.19,0.69,13.45,0.09,4900.0,210.0,9.2,0.05
