"Name","OCFlag","GLON","GLAT","RA_ICRS","DE_ICRS","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","RV","e_RV","f_RV","NRV","N","m-M","logt","E(B-V)","rh","rc","e_rc","rt","e_rt","ro","e_ro","re","e_re","RefName","r_RefName"
"OCSN 295,UPK_78",3,60.62,16.21,279.83,31.63,0.35,0.55,-3.66,0.38,2.68,0.1,-16.95,3.16,1,23,81,8.18,7.45,0.11,1.07,"nan","nan","nan","nan","nan","nan","nan","nan","UPK_78","Sim19"
"OCSN 296,UPK_83",3,64.41,12.66,285.42,33.6,2.07,0.21,-3.28,0.21,2.84,0.09,-16.12,3.63,1,16,57,7.88,7.3,0.04,0.93,0.61,0.04,2.88,0.96,0.9,0.01,1.8,0.09,"UPK_83","Sim19"
"OCSN 297,UPK_88",3,64.91,-11.98,309.76,21.5,10.24,0.27,-5.37,0.22,3.36,0.16,1.16,2.67,1,13,38,8.23,8.8,0.3,1.12,2.32,0.12,3.2,0.11,2.65,0.02,4.91,0.14,"UPK_88","Sim19"
"OCSN 298,UPK_116",3,80.43,-2.54,311.94,39.44,3.25,0.25,-3.14,0.31,2.34,0.07,-19.41,3.61,1,17,53,8.41,7.6,0.1,0.63,1.43,0.17,2.06,0.24,1.25,0.05,4.25,0.72,"UPK_116","Sim19"
"OCSN 299,UPK_160",3,98.59,14.65,306.77,64.14,4.13,0.66,-0.07,0.78,2.15,0.09,-17.49,27.94,1,31,100,9.23,7.9,0.35,1.88,3.93,0.75,4.62,0.33,2.22,0.03,2.72,0.12,"UPK_160","Sim19"
"OCSN 300,UPK_233",3,117.62,9.53,355.94,71.7,6.69,0.91,0.43,0.76,2.0,0.16,-11.06,12.67,1,47,115,9.45,7.8,0.34,1.49,1.77,0.06,5.6,0.33,"nan","nan","nan","nan","UPK_233","Sim19"
"OCSN 301,UPK_292",3,140.38,7.88,56.74,64.63,0.17,0.27,-8.1,0.26,2.27,0.07,-6.18,3.32,1,21,42,9.61,7.75,0.52,0.57,0.92,0.03,2.47,0.14,1.28,0.01,2.54,0.1,"UPK_292","Sim19"
"OCSN 302,UPK_303",3,143.64,-18.0,39.16,40.61,18.13,0.44,-24.14,1.41,4.72,0.17,-9.0,2.93,1,28,80,6.83,8.2,0.1,1.79,2.79,0.08,7.54,0.36,5.36,0.05,8.51,0.36,"UPK_303","Sim19"
"OCSN 303,UPK_305",3,145.65,-19.07,40.79,38.82,2.92,0.17,-6.58,0.11,2.45,0.08,1.93,4.36,1,18,44,8.37,7.85,0.12,0.93,1.88,0.05,4.78,0.13,"nan","nan","nan","nan","UPK_305","Sim19"
"OCSN 304",3,161.97,26.35,110.69,55.27,-2.93,0.78,-31.59,0.83,5.05,0.12,10.67,2.6,1,31,66,6.53,8.05,0.05,1.48,1.56,0.07,5.96,0.91,2.26,0.04,5.33,0.39,"UPK_343, CWNU_1128","Sim19, He22b"
"OCSN 305,UPK_350",3,167.39,19.24,101.64,48.59,-4.83,0.21,-6.33,0.24,2.29,0.09,1.57,3.24,1,23,62,8.61,8.8,0.13,0.96,1.7,0.09,4.22,0.25,"nan","nan","nan","nan","UPK_350","Sim19"
"OCSN 306,UPK_392",3,194.93,-1.99,92.61,15.01,5.71,1.38,-16.77,1.98,4.7,0.47,22.83,5.34,1,128,370,6.93,7.55,0.08,2.55,4.04,0.22,7.04,0.26,"nan","nan","nan","nan","UPK_392","Sim19"
"OCSN 307,UPK_385",3,188.0,-17.06,75.7,12.99,1.78,0.44,-3.59,0.27,3.21,0.16,15.2,13.48,1,19,56,7.68,7.15,0.13,0.37,0.94,0.03,1.77,0.05,1.51,0.01,2.93,0.05,"UPK_385","Sim19"
"OCSN 308,UPK_398",3,198.71,-11.58,85.96,7.04,-3.27,0.22,-1.74,0.16,2.26,0.12,27.92,13.85,2,10,60,8.49,6.85,0.1,0.31,0.79,0.1,0.97,0.08,0.83,0.0,1.3,0.02,"UPK_398","Sim19"
"OCSN 309,UPK_402",3,203.16,-12.26,87.5,2.91,-1.05,0.4,-1.66,0.5,2.46,0.1,30.19,11.0,1,11,59,8.45,6.8,0.15,0.21,0.45,0.07,0.82,0.1,"nan","nan","nan","nan","UPK_402","Sim19"
"OCSN 310,UPK_422",3,213.26,-16.21,88.49,-7.6,0.25,0.29,-0.54,0.18,3.31,0.09,14.76,4.12,1,29,100,7.45,7.3,0.07,0.59,1.46,0.16,1.49,0.06,1.44,0.01,2.97,0.08,"UPK_422","Sim19"
"OCSN 311,UPK_533",3,267.55,-9.74,123.57,-52.4,-7.0,0.35,2.65,0.32,2.95,0.08,28.33,2.99,1,14,45,8.0,7.85,0.11,1.18,2.1,0.29,3.06,0.28,2.69,0.05,5.57,0.44,"UPK_533","Sim19"
"OCSN 312,UPK_535",3,267.23,-7.06,126.88,-50.66,-12.72,0.75,3.34,0.31,3.12,0.15,10.06,4.79,1,53,196,7.73,7.4,0.09,1.49,1.93,0.12,4.08,0.32,2.79,0.03,5.32,0.26,"UPK_535","Sim19"
"OCSN 313,UPK_540",3,270.82,-16.94,115.07,-58.65,-4.8,0.43,7.71,0.37,2.71,0.12,6.71,7.33,1,27,90,8.15,7.45,0.14,1.14,2.04,0.08,2.76,0.07,2.22,0.02,4.04,0.15,"UPK_540","Sim19"
