"Cluster","RA","DEC","GLON","GLAT","Class","Diam","Dist","E(B-V)","n_E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","Nc","r_pmRA","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","RAJ2000","DEJ2000"
"NGC 654","01 44 00","+61 53 06",129.0821,-0.3575,"nan",5.0,2041.0,0.868,"nan",7.148,-1.34,0.51,-0.72,0.64,-1.17,-0.98,3.0," BDW",-33.8,1.4,"nan"," RGDZ","nan","nan","nan",26.00003,61.88499
"NGC 659","01 44 24","+60 40 24",129.3753,-1.5341,"nan",5.0,1938.0,0.652,"nan",7.548,-2.67,1.96,1.07,1.96,-2.83,0.5,1.0," BDW","nan","nan","nan","nan","nan","nan","nan",26.10004,60.67337
"NGC 663","01 46 09","+61 14 06",129.4667,-0.9407," v",14.0,1952.0,0.78,"nan",7.209,-1.49,0.85,-2.3,0.89,-0.97,-2.56,3.0," BDW",-32.0,2.0,"nan"," RGDZ","nan","nan","nan",26.53741,61.23496
"Berkeley 5","01 47 48","+62 56 00",129.2927,0.7597,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",26.95004,62.9333
"Collinder 463","01 48 24","+71 57 00",127.3651,9.5703,"nan",29.0,702.0,0.259,"nan",8.373,-0.91,1.63,-0.9,1.63,-0.69,-1.08,40.0," TYC","nan","nan","nan","nan","nan","nan","nan",27.1001,71.95003
"Collinder 21","01 50 11","+27 04 00",138.7333,-33.9961," p",9.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",27.5458,27.06669
"Berkeley 6","01 51 12","+61 05 00",130.0942,-0.9546,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",27.79989,61.08337
"IC 166","01 52 30","+61 50 00",130.0714,-0.1891,"nan",7.0,3970.0,1.05,"nan",8.629,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.178,0.2,4.0,28.12502,61.83329
"Stock 4","01 52 48","+57 04 00",131.2308,-4.8131," d",12.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",28.19988,57.06665
"ESO 245-09","01 53 43","-45 57 12",273.7621,-67.4885," p",14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",28.42913,-45.95332
"Berkeley 7","01 54 12","+62 22 00",130.1379,0.3762,"nan",4.0,2570.0,0.8,"nan",6.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",28.55001,62.36662
"Czernik 5","01 55 06","+61 20 00",130.4913,-0.6005,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",28.77497,61.33339
"NGC 752","01 57 41","+37 47 06",137.1251,-23.2542,"nan",75.0,457.0,0.034,"nan",9.05,7.5,2.24,-11.5,2.24,10.38,-8.98,50.0," TYC",4.7,0.8,15.0," MMLM",-0.088,0.07,16.0,29.42083,37.78496
"NGC 744","01 58 33","+55 28 24",132.4037,-6.1594,"nan",5.0,1207.0,0.384,"nan",8.248,-1.34,1.51,1.15,1.56,-1.59,0.76,1.0," BDW","nan","nan","nan","nan","nan","nan","nan",29.63745,55.47332
"NGC 743","01 58 37","+60 09 18",131.2028,-1.6335," d",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",29.65426,60.15503
"Berkeley 8","02 01 06","+75 35 00",127.3236,13.3089,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",30.27513,75.58332
"Czernik 6","02 02 00","+62 52 00",130.8775,1.0886,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",30.50007,62.86671
"Czernik 7","02 02 24","+62 15 00",131.0886,0.5073," d",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",30.59986,62.24998
"Whiting 1","02 02 57","-03 15 10",161.6176,-60.6359,"nan",1.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",30.7375,-3.25281
"Stock 5","02 04 30","+64 26 00",130.7141,2.6712," d",12.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",31.12501,64.43336
"Stock 2","02 15 00","+59 16 00",133.4373,-1.89,"nan",45.0,303.0,0.38,"nan",8.23,17.29,2.24,-13.1,2.24,20.55,-6.93,54.0," TYC","nan","nan","nan","nan","nan","nan","nan",33.74989,59.26668
"Basel 10","02 18 48","+58 19 00",134.2118,-2.6288,"nan",2.0,1944.0,0.774,"nan",7.608,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",34.69998,58.31671
"NGC 869","02 19 00","+57 07 42",134.6322,-3.7409," v",18.0,2079.0,0.575,"nan",7.069,-0.92,0.37,-1.66,0.34,-0.32,-1.87,4.0," BDW",-53.0,6.0,"nan"," RGDZ","nan","nan","nan",34.75007,57.12833
"Berkeley 63","02 19 36","+63 45 00",132.4951,2.5273,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",34.89992,63.75004
"Berkeley 64","02 21 06","+65 54 00",131.9188,4.605,"nan",2.0,3981.0,1.05,"nan",9.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.61,"nan","nan",35.27484,65.89998
"NGC 884","02 22 18","+57 08 12",135.0515,-3.5815," v",18.0,2345.0,0.56,"nan",7.032,-1.61,2.46,0.17,2.46,-1.57,-0.39,18.0," TYC",-40.5,2.8,"nan"," RGDZ","nan","nan","nan",35.57503,57.1367
"NGC 886","02 23 10","+63 46 24",132.8582,2.6835," n",14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",35.79166,63.7733
"Stock 6","02 23 42","+63 52 00",132.8809,2.7915," d",14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",35.92506,63.86665
"Tombaugh 4","02 28 54","+61 47 00",134.1821,1.0591,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",37.22504,61.78332
"Stock 7","02 29 36","+60 39 00",134.678,0.0365,"nan",5.0,698.0,0.606,"nan",7.214,-3.33,0.85,0.24,0.84,-3.18,-1.01,2.0," BDW",-8.0,15.0,"nan"," RGDZ","nan","nan","nan",37.39998,60.64996
"NGC 956","02 32 30","+44 35 36",141.242,-14.6556," d",9.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",38.12504,44.59332
"IC 1805","02 32 42","+61 27 00",134.7256,0.9188,"nan",20.0,1886.0,0.822,"nan",6.822,-2.1,1.35,-1.57,1.35,-1.34,-2.25,15.0," BDW",-26.0,23.0,"nan"," RGDZ","nan","nan","nan",38.17491,61.44998
"Czernik 8","02 33 00","+58 44 00",135.7957,-1.5785,"nan",2.0,1409.0,0.803,"nan",7.904,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",38.25004,58.73337
"NGC 957","02 33 21","+57 33 36",136.2875,-2.645,"nan",10.0,1815.0,0.842,"nan",7.042,1.11,3.5,0.28,3.5,0.92,0.68,12.0," TYC",-36.0,13.0,"nan"," RGDZ","nan","nan","nan",38.33751,57.55999
"Czernik 9","02 33 36","+59 53 00",135.4262,-0.4868,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",38.39997,59.88334
"Czernik 10","02 33 54","+60 01 00",135.4096,-0.3493," d",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",38.47488,60.01666
"King 4","02 35 42","+59 00 00",136.0146,-1.1977,"nan",5.0,3172.0,0.863,"nan",7.605,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",38.92505,59.00002
"Czernik 11","02 35 48","+59 38 00",135.7785,-0.6099,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",38.95003,59.63332
"Trumpler 2","02 37 18","+55 59 00",137.403,-3.8853,"nan",17.0,651.0,0.324,"nan",8.169,1.86,2.14,-5.0,2.14,3.69,-3.85,16.0," TYC",2.4,0.7,"nan"," RGDZ","nan","nan","nan",39.32497,55.9833
"Berkeley 65","02 39 00","+60 25 00",135.8344,0.2677,"nan",5.0,2274.0,1.121,"nan",6.995,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",39.75004,60.41663
"Czernik 12","02 39 12","+54 56 00",138.0727,-4.7391,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",39.79993,54.93333
"NGC 1039","02 42 05","+42 45 42",143.658,-15.6133,"nan",35.0,499.0,0.07,"nan",8.249,-0.07,1.35,-7.1,1.35,2.98,-6.44,30.0," TYC",-7.8,0.1,"nan"," RGDZ",-0.3,0.15,"nan",40.52088,42.7617
"NGC 1027","02 42 40","+61 35 42",135.758,1.5247,"nan",20.0,772.0,0.325,"nan",8.203,-1.9,3.17,1.6,3.17,-2.39,0.67,30.0," TYC",15.0,1.0,"nan"," RGDZ","nan","nan","nan",40.6667,61.59499
"Czernik 13","02 44 42","+62 21 00",135.6585,2.3103,"nan",4.0,3961.0,0.755,"nan",6.854,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",41.17489,62.35
"Dol-Dzim 1","02 47 30","+17 16 00",158.617,-37.4353," p",14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",41.87499,17.26665
"IC 1848","02 51 12","+60 26 00",137.1909,0.9203,"nan",18.0,2002.0,0.598,"nan",6.84,-5.15,1.32,0.35,1.38,-4.77,-1.97,1.0," BDW",-22.0,13.0,"nan"," RGDZ","nan","nan","nan",42.79988,60.43334
"Latysev 1","02 52 00","+27 30 00",153.2799,-28.1737," m",330.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",43.00001,27.49995
"NGC 1146","02 57 37","+46 25 48",144.4904,-11.0927," n","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",44.4042,46.43002
"Collinder 33","02 59 18","+60 24 00",138.0951,1.3484," d",25.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",44.82494,60.40004
"Collinder 34","03 00 54","+60 25 00",138.2612,1.4567," d",25.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",45.22498,60.4167
"Berkeley 66","03 04 18","+58 46 00",139.4337,0.2184,"nan",4.0,5200.0,1.25,"nan",9.7,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",46.075,58.76661
"NGC 1193","03 05 32","+44 23 00",146.7493,-12.1991,"nan",3.0,4300.0,0.12,"nan",9.9,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.293,0.17,4.0,46.38331,44.38333
"NGC 1252","03 10 49","-57 46 00",274.0839,-50.8313," p",14.0,640.0,0.02,"nan",9.48,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",47.70422,-57.7667
"NGC 1220","03 11 40","+53 20 42",143.0363,-3.9632,"nan",4.0,1800.0,0.7,"nan",7.778,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",47.91658,53.34503
"Trumpler 3","03 11 48","+63 15 00",137.9763,4.5546,"nan",14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",47.94989,63.24999
"King 5","03 14 36","+52 43 00",143.7406,-4.2729,"nan",5.0,1900.0,"nan","nan",9.0,"nan","nan","nan","nan","nan","nan","nan","nan",-52.0,12.0,19.0," SFJ",-0.38,"nan",3.0,48.64999,52.71664
"NGC 1245","03 14 42","+47 14 12",146.6474,-8.9309,"nan",9.0,2876.0,0.3,"nan",8.704,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.1,0.15,"nan",48.67504,47.2367
"Stock 23","03 16 18","+60 02 00",140.108,2.0841,"nan",18.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",49.07492,60.03334
"Czernik 14","03 16 54","+58 36 00",140.9287,0.9063,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",49.22506,58.60002
"Melotte 20","03 22 00","+48 37 00",146.9398,-7.1101,"nan",300.0,185.0,0.09,"nan",7.854,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",50.49997,48.61663
"Czernik 15","03 23 12","+52 15 00",145.0998,-3.9661,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",50.80005,52.25001
"King 6","03 28 06","+56 27 00",143.3607,-0.0766,"nan",10.0,871.0,0.5,"nan",8.34,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.46,"nan","nan",52.02496,56.44997
"Czernik 16","03 30 48","+52 39 00",145.8367,-2.9865,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",52.69995,52.65003
"NGC 1342","03 31 38","+37 22 36",154.9518,-15.3422,"nan",15.0,665.0,0.319,"nan",8.655,-1.15,2.46,-2.8,2.46,0.74,-2.94,9.0," TYC",-10.9,0.3,"nan"," RGDZ",-0.16,0.11,"nan",52.90835,37.37664
"Berkeley 9","03 32 42","+52 42 00",146.0442,-2.7803,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",53.175,52.70002
"Alessi 13","03 34 00","-35 19 00",236.5304,-54.553," m?",420.0,110.0,0.036,"nan","nan",37.2,3.4,-4.4,2.8,3.22,37.32,27.0," ADM","nan","nan","nan","nan","nan","nan","nan",53.50005,-35.31668
"NGC 1348","03 34 06","+51 24 30",146.9688,-3.709,"nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",53.52496,51.40839
"Berkeley 10","03 39 24","+66 32 00",138.5761,8.9084,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",54.85002,66.53332
"IC 348","03 44 30","+32 17 00",160.3978,-17.7191,"nan",7.0,385.0,0.929,"nan",7.641,7.29,3.05,-7.7,3.05,10.53,-1.25,11.0," TYC","nan","nan","nan","nan","nan","nan","nan",56.12497,32.28338
"Melotte 22","03 47 00","+24 07 00",166.5707,-23.5212,"nan",120.0,150.0,0.03,"nan",8.131,19.88,1.75,-45.0,1.75,44.99,-19.91,50.0," TYC",5.67,"nan",67.0," RM98","nan","nan","nan",56.75,24.11662
"Tombaugh 5","03 47 48","+59 03 00",143.9423,3.5725,"nan",14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",56.95004,59.04998
"NGC 1444","03 49 25","+52 39 30",148.0963,-1.2923,"nan",4.0,1199.0,0.712,"nan",7.964,2.34,0.98,-1.95,0.85,3.05,-0.06,1.0," BDW","nan","nan","nan","nan","nan","nan","nan",57.35415,52.65828
"Czernik 17","03 52 24","+62 00 00",142.5247,6.2235,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",58.09999,62.00005
"NGC 1520","03 57 51","-76 47 42",291.1373,-35.7047," n",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",59.46242,-76.79502
"King 7","03 59 00","+51 48 00",149.7744,-1.0191,"nan",7.0,2200.0,1.25,"nan",8.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",59.74995,51.80005
"NGC 1498","04 00 18","-12 00 54",203.6225,-43.3297," p",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",60.07502,-12.015
"NGC 1496","04 04 32","+52 39 42",149.847,0.1871,"nan",4.0,1230.0,0.45,"nan",8.8,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",61.13331,52.66168
"Dolidze 14","04 06 36","+27 26 00",167.5504,-18.0787,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",61.64995,27.43332
"NGC 1502","04 07 50","+62 19 54",143.6723,7.6576," v",8.0,821.0,0.759,"nan",7.051,0.49,2.03,0.5,2.03,0.02,0.7,8.0," TYC",-18.0,13.0,"nan"," RGDZ","nan","nan","nan",61.95831,62.33171
"NGC 1513","04 09 57","+49 30 54",152.5898,-1.5743,"nan",10.0,1320.0,0.67,"nan",8.11,4.95,3.77,-3.5,3.77,6.01,0.79,6.0," TYC","nan","nan","nan","nan","nan","nan","nan",62.48747,49.51504
"NGC 1557","04 13 11","-70 28 18",283.7728,-38.2608," p",21.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",63.29576,-70.47163
"NGC 1528","04 15 23","+51 12 54",152.0568,0.2577,"nan",16.0,776.0,0.258,"nan",8.568,1.37,1.73,-1.4,1.73,1.96,-0.06,20.0," TYC",-10.3,0.3,"nan"," RGDZ","nan","nan","nan",63.84576,51.21499
"Waterloo 1","04 18 36","+52 51 30",151.2691,1.7825," d",5.0,4400.0,0.9,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",64.65008,52.85832
"IC 361","04 19 00","+58 18 00",147.4836,5.7006,"nan",6.0,1070.0,1.117,"nan",7.718,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",64.75005,58.29998
"Mayer 2","04 19 30","+53 12 00",151.1261,2.121,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",64.875,53.19995
"Berkeley 11","04 20 36","+44 55 00",157.0815,-3.6422,"nan",5.0,2881.0,0.947,"nan",7.719,1.45,1.35,-2.37,1.35,2.7,-0.66,11.0," TYC","nan","nan","nan","nan","nan","nan","nan",65.15005,44.91666
"NGC 1545","04 20 57","+50 15 12",153.3588,0.1844,"nan",18.0,711.0,0.303,"nan",8.448,0.25,2.71,0.2,2.71,0.04,0.32,16.0," TYC",-12.0,2.0,"nan"," RGDZ",-0.06,0.09,1.0,65.23749,50.25334
"NGC 1548","04 21 13","+36 55 00",162.8788,-9.1967," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",65.30411,36.91665
"Melotte 25","04 26 54","+15 52 00",180.0638,-22.3429,"nan",330.0,45.0,0.01,"nan",8.896,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.17,"nan","nan",66.72504,15.86669
"Czernik 18","04 28 00","+30 56 00",168.2873,-12.2868,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",67.00006,30.93334
"NGC 1582","04 31 53","+43 49 00",159.2779,-2.9586," d",15.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",67.9708,43.81664
"AM 0430-392","04 32 24","-39 17 36",242.616,-42.9581," nf",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",68.09997,-39.29334
"NGC 1605","04 34 53","+45 16 12",158.5737,-1.5791,"nan",6.0,2559.0,0.97,"nan",7.61,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",68.72082,45.27006
"NGC 1641","04 35 32","-65 45 00",277.203,-38.3181," p",11.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",68.88337,-65.74998
"Berkeley 67","04 38 06","+50 45 00",154.8776,2.503," d",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",69.52491,50.75
"NGC 1624","04 40 36","+50 27 42",155.3572,2.6076,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",70.14995,50.46165
"Platais 3","04 41 37","+71 14 12",139.3455,16.1483,"nan",216.0,161.0,"nan","nan",8.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",70.40419,71.23666
"Berkeley 68","04 44 30","+42 04 00",162.125,-2.4076,"nan",12.0,1678.0,0.671,"nan",8.391,-3.18,3.25,-2.33,3.25,-0.31,-3.93,8.0," TYC","nan","nan","nan","nan","nan","nan","nan",71.12501,42.06671
"Berkeley 12","04 44 36","+42 41 00",161.6696,-1.9911,"nan",4.0,3162.0,0.7,"nan",9.67,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.07,"nan","nan",71.15006,42.68332
"NGC 1647","04 45 55","+19 06 54",180.3366,-16.7718,"nan",40.0,540.0,0.37,"nan",8.158,-1.77,1.44,-2.0,1.44,0.51,-2.62,25.0," TYC",-2.0,4.4,"nan"," RGDZ","nan","nan","nan",71.47916,19.11498
"Alessi 2","04 46 02","+55 12 24",152.2918,6.3291,"nan",30.0,501.0,0.18,"nan",8.5,0.25,2.81,-1.09,2.81,0.99,-0.51,23.0," ADM","nan","nan","nan","nan","nan","nan","nan",71.50833,55.20663
"Ruprecht 148","04 46 30","+44 44 00",160.3362,-0.3963,"nan",4.0,3028.0,0.702,"nan",7.724,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",71.62501,44.73336
"NGC 1662","04 48 27","+10 56 12",187.695,-21.1143,"nan",20.0,437.0,0.304,"nan",8.625,-1.93,1.17,-2.1,1.17,0.62,-2.78,18.0," TYC",-13.9,0.5,"nan"," RGDZ",-0.095,0.01,2.0,72.11251,10.93663
"NGC 1663","04 48 58","+13 08 54",185.845,-19.7351," n",12.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",72.24166,13.14834
"ESO 485-20","04 50 04","-25 57 24",226.1617,-37.1443," d",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",72.51668,-25.95664
"NGC 1664","04 51 06","+43 40 30",161.6768,-0.446,"nan",9.0,1199.0,0.254,"nan",8.465,1.96,2.93,-5.1,2.34,5.18,-1.74,1.0," BDW",7.8,1.5,"nan"," RGDZ","nan","nan","nan",72.775,43.67503
"Berkeley 13","04 55 36","+52 45 00",155.0992,5.8617,"nan",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",73.89993,52.75
"Czernik 19","04 57 00","+28 47 00",174.0754,-8.8559,"nan",14.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",74.25002,28.78334
"Skiff 2","04 58 11","+43 01 00",162.9991,0.1399,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",74.54581,43.01663
"NGC 1785","04 58 45","-68 49 18",279.982,-35.2389," n","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",74.68742,-68.82164
"Berkeley 14","05 00 12","+43 28 00",162.873,0.7069,"nan",5.0,5500.0,0.52,"nan",9.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",75.04997,43.46664
"Berkeley 15","05 02 18","+44 27 00",162.3288,1.609,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",75.57494,44.45001
"NGC 1708","05 03 27","+52 50 00",155.7637,6.8512," n",20.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",75.86243,52.83334
"NGC 1724","05 03 32","+49 29 30",158.45,4.8445," n",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",75.88331,49.49161
"NGC 1746","05 03 50","+23 46 12",179.0749,-10.6452," r",42.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",75.95833,23.77003
"NGC 1750","05 03 55","+23 39 30",179.1781,-10.6956,"nan",20.0,630.0,0.34,"nan",8.3,-3.14,0.92,-2.91,0.55,0.5,-4.25,3.0," BDW","nan","nan","nan","nan","nan","nan","nan",75.97917,23.6584
"NGC 1758","05 04 35","+23 47 54",179.1544,-10.4899,"nan",9.0,760.0,0.34,"nan",8.6,-1.44,1.73,-3.5,1.73,1.98,-3.22,36.0," TYC","nan","nan","nan","nan","nan","nan","nan",76.14578,23.79837
"Dolidze 15","05 04 36","+34 50 00",170.2331,-3.8928," nf",18.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",76.14994,34.83335
