"UCC_ID","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","N_50","r_50","C3","shared_members","shared_members_perc"
"UCC G289.3+07.2","UBC 1495",170.01,-53.19,289.373,7.289,0.191,-6.545,2.104,32.399,2.0,18.0,6.2,"DC","nan","nan"
"UCC G289.3+06.6","FSR 1561",169.643,-53.79,289.397,6.622,0.319,-8.753,2.55,0.747,1.0,22.0,5.6,"DC","nan","nan"
"UCC G289.3-01.3","CWNU 3486",163.8725,-61.0907,289.388,-1.302,0.134,-5.65,2.412,29.821,3.0,20.0,1.3,"BA","nan","nan"
"UCC G289.4+02.6","CWNU 4568",167.1203,-57.4933,289.36,2.678,0.113,-5.242,1.526,36.21,2.0,7.0,6.0,"CC","cwnu4613","4.0"
"UCC G289.4+01.2","CWNU 3975",166.0898,-58.772,289.427,1.259,0.14,-6.828,2.59,28.184,2.0,26.0,2.1,"BB","nan","nan"
"UCC G289.4+03.3","CWWDL 14043",167.6915,-56.8216,289.458,3.409,0.847,-7.443,0.718,-0.882,19.0,116.0,5.6,"AB","ubc265;fof2238","100.0;87.9"
"UCC G289.4+03.3a","UBC 265",167.6988,-56.819,289.454,3.407,0.837,-7.452,0.705,1.164,26.0,185.0,8.3,"AB","cwwdl14043;fof2238","62.7;55.1"
"UCC G289.4+00.0","HSC 2393",165.0856,-59.9937,289.455,-0.062,0.099,-5.515,2.483,36.872,2.0,23.0,0.9,"AA","nan","nan"
"UCC G289.4+03.3b","FoF 2238",167.713,-56.821,289.458,3.407,0.846,-7.449,0.711,0.54,17.0,102.0,5.6,"AB","cwwdl14043;ubc265","100.0;100.0"
"UCC G289.4-00.4","OC 0553",164.8065,-60.3101,289.495,-0.415,0.458,-7.311,2.713,8.627,1.0,18.0,3.8,"CC","ngc3496","64.0"
"UCC G289.4-01.2","UBC 509",164.064,-61.089,289.49,-1.26,0.307,-6.574,2.411,"nan",0.0,27.0,2.5,"AB","collinder236","92.6"
"UCC G289.4-01.9","Ruprecht 92;OCL 834;ESO 128 17;MWSC 1866",163.44,-61.7402,289.475,-2.004,0.165,-6.744,2.906,23.649,1.0,13.0,6.7,"CC","nan","nan"
"UCC G289.4-01.4","CWWDL 13411",163.9208,-61.3088,289.43,-1.511,0.396,-6.957,2.384,"nan",0.0,9.0,9.4,"DC","nan","nan"
"UCC G289.5-00.4","NGC 3496;Collinder 237;OCL 836;VDBH 108;vdBergh-Hagen 108;ESO 128 26;FSR 1562;MWSC 1878;FoF 236",164.877,-60.335,289.503,-0.415,0.403,-7.411,2.716,8.816,28.0,551.0,4.3,"AA","oc0553","2.9"
"UCC G289.5-01.9","Kronberger 39;DSH J1054.2-6144;MWSC 1868",163.5522,-61.7363,289.529,-1.956,0.116,-4.731,1.922,46.722,3.0,22.0,5.8,"DC","nan","nan"
"UCC G289.5-00.8","FoF 1036",164.5817,-60.7233,289.495,-0.798,0.254,-5.938,2.164,17.44,2.0,17.0,9.1,"DC","nan","nan"
"UCC G289.5+00.1","Pismis 17;OCL 833;MWSC 1882",165.377,-59.873,289.555,0.097,0.369,-6.908,2.347,-8.578,6.0,62.0,3.1,"BB","nan","nan"
"UCC G289.5-01.2","Collinder 236",164.2369,-61.1065,289.499,-1.262,0.308,-6.562,2.428,2.414,1.0,46.0,3.3,"AA","ubc509","54.3"
